rank,method,case_count,mean_score,typical_error,retained
1,Matern GP,75,1.1782910157140036,0.06632984528232433,yes
2,RBF GP,75,0.9279188839041981,0.11805411126496808,yes
3,Average LSE + graph control,75,0.8673209867442032,0.13573098889901655,no
4,Linear residual DML + graph zero,75,0.8613925345707293,0.13759652484084708,no
5,Linear residual DML,75,0.8498854126166111,0.14129102878714483,no
6,LSTM sequence model,75,0.6531648359627795,0.2222466196103923,no
7,Linear state-space estimator,75,0.5739409426780636,0.26672213406464834,no
8,Expanded DML + graph zero,75,0.5545251638829082,0.2789169041676414,no
9,Average LSE + graph zero,75,0.540460895558066,0.28809724446155177,no
10,Average LSE,75,0.5186738304214457,0.3029187594488034,no
11,Expanded DML,75,0.44888326481616103,0.3557269225174683,no
12,Expanded LSE + graph control,75,0.4405120152088837,0.3626502530093789,no
13,Expanded LSE + graph zero,75,0.43993818843939114,0.36312973403215376,no
14,Expanded LSE,75,0.42240961418027323,0.3780858167279155,no
15,Expanded DML + graph control,75,0.40466351635891745,0.3938551092074474,no
16,Linear residual DML + graph control,75,0.27293657584502773,0.5334127891440745,no
17,Neural ODE,75,0.25412627636766444,0.5570237639943114,no
