"row_label","H","csv_name","SHD","F1","TP","FP","FN"
"Return N1","Hbrn","heat_zero_Cuni_dur70_Hbrn_N1_Tend100000_Ts10_assumed_links.csv","7","0.666667","12","12","0"
"Return N1","Hdec","heat_zero_Cuni_dur70_Hdec_N1_Tend100000_Ts10_assumed_links.csv","13","0.526316","10","16","2"
"Return N1","Hsin","heat_zero_Cuni_dur70_Hsin_N1_Tend100000_Ts10_assumed_links.csv","16","0.5","10","18","2"
"Return N1","Hstep","heat_zero_Cuni_dur70_Hstep_N1_Tend100000_Ts10_assumed_links.csv","15","0.5","10","18","2"
"Return N1","Hprbs","heat_zero_Cuni_dur70_Hprbs_N1_Tend100000_Ts10_assumed_links.csv","15","0.5","10","18","2"
"Return N2","Hbrn","heat_zero_Cuni_dur70_Hbrn_N2_Tend100000_Ts10_assumed_links.csv","10","0.594595","11","14","1"
"Return N2","Hdec","heat_zero_Cuni_dur70_Hdec_N2_Tend100000_Ts10_assumed_links.csv","15","0.5","10","18","2"
"Return N2","Hprbs","heat_zero_Cuni_dur70_Hprbs_N2_Tend100000_Ts10_assumed_links.csv","11","0.6","12","16","0"
"Return N2","Hsin","heat_zero_Cuni_dur70_Hsin_N2_Tend100000_Ts10_assumed_links.csv","16","0.511628","11","20","1"
"Return N2","Hstep","heat_zero_Cuni_dur70_Hstep_N2_Tend100000_Ts10_assumed_links.csv","15","0.52381","11","19","1"
"Return N3","Hbrn","heat_zero_Cuni_dur70_Hbrn_N3_Tend100000_Ts10_assumed_links.csv","11","0.514286","9","14","3"
"Return N3","Hdec","heat_zero_Cuni_dur70_Hdec_N3_Tend100000_Ts10_assumed_links.csv","11","0.5625","9","11","3"
"Return N3","Hprbs","heat_zero_Cuni_dur70_Hprbs_N3_Tend100000_Ts10_assumed_links.csv","14","0.5","9","15","3"
"Return N3","Hsin","heat_zero_Cuni_dur70_Hsin_N3_Tend100000_Ts10_assumed_links.csv","16","0.487805","10","19","2"
"Return N3","Hstep","heat_zero_Cuni_dur70_Hstep_N3_Tend100000_Ts10_assumed_links.csv","13","0.514286","9","14","3"
"Var N1","Hbrn","heat_system_varying_baseline_Cuni_dur70_Hbrn_N1_Tend100000_Ts10_assumed_links.csv","5","0.8","12","6","0"
"Var N1","Hdec","heat_system_varying_baseline_Cuni_dur70_Hdec_N1_Tend100000_Ts10_assumed_links.csv","13","0.536585","11","18","1"
"Var N1","Hprbs","heat_system_varying_baseline_Cuni_dur70_Hprbs_N1_Tend100000_Ts10_assumed_links.csv","11","0.540541","10","15","2"
"Var N1","Hsin","heat_system_varying_baseline_Cuni_dur70_Hsin_N1_Tend100000_Ts10_assumed_links.csv","8","0.709677","11","8","1"
"Var N1","Hstep","heat_system_varying_baseline_Cuni_dur70_Hstep_N1_Tend100000_Ts10_assumed_links.csv","13","0.55","11","17","1"
"Var N2","Hbrn","heat_system_varying_baseline_Cuni_dur70_Hbrn_N2_Tend100000_Ts10_assumed_links.csv","8","0.666667","10","8","2"
"Var N2","Hdec","heat_system_varying_baseline_Cuni_dur70_Hdec_N2_Tend100000_Ts10_assumed_links.csv","13","0.526316","10","16","2"
"Var N2","Hprbs","heat_system_varying_baseline_Cuni_dur70_Hprbs_N2_Tend100000_Ts10_assumed_links.csv","14","0.5","10","18","2"
"Var N2","Hsin","heat_system_varying_baseline_Cuni_dur70_Hsin_N2_Tend100000_Ts10_assumed_links.csv","9","0.611111","11","13","1"
"Var N2","Hstep","heat_system_varying_baseline_Cuni_dur70_Hstep_N2_Tend100000_Ts10_assumed_links.csv","12","0.564103","11","16","1"
"Var N3","Hbrn","heat_system_varying_baseline_Cuni_dur70_Hbrn_N3_Tend100000_Ts10_assumed_links.csv","13","0.578947","11","15","1"
"Var N3","Hdec","heat_system_varying_baseline_Cuni_dur70_Hdec_N3_Tend100000_Ts10_assumed_links.csv","9","0.642857","9","7","3"
"Var N3","Hprbs","heat_system_varying_baseline_Cuni_dur70_Hprbs_N3_Tend100000_Ts10_assumed_links.csv","12","0.5625","9","11","3"
"Var N3","Hsin","heat_system_varying_baseline_Cuni_dur70_Hsin_N3_Tend100000_Ts10_assumed_links.csv","9","0.592593","8","7","4"
"Var N3","Hstep","heat_system_varying_baseline_Cuni_dur70_Hstep_N3_Tend100000_Ts10_assumed_links.csv","10","0.6","9","9","3"
