"row_label","noise","H","csv_name","SHD","F1","TP","FP","FN"
"Zero N1","N1","Hbrn","non_overlapping_pulse_return_to_base_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N1_parcorr_linear_assumed_links.csv","111","0.315018","43","176","11"
"Zero N2","N2","Hbrn","non_overlapping_pulse_return_to_base_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_links.csv","108","0.321839","42","165","12"
"Zero N3","N3","Hbrn","non_overlapping_pulse_return_to_base_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N3_parcorr_linear_assumed_links.csv","136","0.257028","32","163","22"
"Var N1","N1","Hbrn","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N1_parcorr_linear_assumed_links.csv","107","0.365019","48","161","6"
"Var N1","N1","Hdec","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_links.csv","103","0.380228","50","159","4"
"Var N1","N1","Hprbs","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_links.csv","119","0.343066","47","173","7"
"Var N1","N1","Hsin","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N1_parcorr_linear_assumed_links.csv","103","0.366412","48","160","6"
"Var N1","N1","Hstep","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N1_parcorr_linear_assumed_links.csv","108","0.350365","48","172","6"
"Var N2","N2","Hbrn","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_links.csv","111","0.352941","48","170","6"
"Var N2","N2","Hdec","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N2_parcorr_linear_assumed_links.csv","108","0.378378","49","156","5"
"Var N2","N2","Hprbs","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N2_parcorr_linear_assumed_links.csv","118","0.336996","46","173","8"
"Var N2","N2","Hsin","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N2_parcorr_linear_assumed_links.csv","113","0.343066","47","173","7"
"Var N2","N2","Hstep","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_links.csv","103","0.367816","48","159","6"
"Var N3","N3","Hbrn","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N3_parcorr_linear_assumed_links.csv","140","0.222222","27","162","27"
"Var N3","N3","Hdec","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N3_parcorr_linear_assumed_links.csv","137","0.243697","29","155","25"
"Var N3","N3","Hprbs","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N3_parcorr_linear_assumed_links.csv","149","0.264286","37","189","17"
"Var N3","N3","Hsin","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_links.csv","145","0.26616","35","174","19"
"Var N3","N3","Hstep","non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N3_parcorr_linear_assumed_links.csv","139","0.268293","33","159","21"
