source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,0,0.0,0.573619830414158,0.573619830414158,-->,"(0,0) --> (1,0)"
T1,T2,1,5.742252081124409e-106,0.21622543502849118,0.21622543502849118,-->,"(0,-1) --> (1,0)"
T1,T2,2,1.533043234121074e-07,-0.0524821015291871,0.0524821015291871,-->,"(0,-2) --> (1,0)"
T1,C,0,2.551148133804493e-108,0.21866217128488039,0.21866217128488039,-->,"(0,0) --> (4,0)"
T1,C,1,9.450646867402238e-09,0.057417444846483943,0.057417444846483943,-->,"(0,-1) --> (4,0)"
T1,u1,0,0.00014737354849009326,0.03796459284471728,0.03796459284471728,<--,"(0,0) <-- (6,0)"
T2,T1,0,0.0,0.573619830414158,0.573619830414158,<--,"(1,0) <-- (0,0)"
T2,T1,1,1.7145113145845945e-105,0.2157428159884076,0.2157428159884076,-->,"(1,-1) --> (0,0)"
T2,C,0,9.822025001627389e-118,0.22787856040032595,0.22787856040032595,-->,"(1,0) --> (4,0)"
T2,C,1,5.56817139724032e-15,0.07809047957871684,0.07809047957871684,-->,"(1,-1) --> (4,0)"
T2,C,2,9.010388388619872e-07,-0.04913930785899444,0.04913930785899444,-->,"(1,-2) --> (4,0)"
T2,u2,0,3.7601480666835295e-05,0.04122363114523148,0.04122363114523148,<--,"(1,0) <-- (7,0)"
T3,C,2,0.00030443684255110955,0.03614202616801004,0.03614202616801004,<->,"(2,-2) <-> (4,0)"
T3,P,2,0.0026298226400022886,0.030103950079206285,0.030103950079206285,<->,"(2,-2) <-> (5,0)"
T3,u3,0,1.0473396769680243e-35,0.12429940071123524,0.12429940071123524,<--,"(2,0) <-- (8,0)"
T4,C,0,0.018840345607710928,0.023512323232965007,0.023512323232965007,-->,"(3,0) --> (4,0)"
T4,C,2,2.1057868205236784e-05,0.04256018972473012,0.04256018972473012,-->,"(3,-2) --> (4,0)"
T4,P,1,2.437417802837184e-05,0.04222331893641071,0.04222331893641071,-->,"(3,-1) --> (5,0)"
T4,u4,0,1.488857038627204e-23,0.09982061590595992,0.09982061590595992,<--,"(3,0) <-- (9,0)"
C,T1,0,2.551148133804493e-108,0.21866217128488039,0.21866217128488039,<--,"(4,0) <-- (0,0)"
C,T1,1,3.201578076983688e-36,0.12528548868385112,0.12528548868385112,-->,"(4,-1) --> (0,0)"
C,T2,0,9.822025001627389e-118,0.22787856040032595,0.22787856040032595,<--,"(4,0) <-- (1,0)"
C,T2,1,5.449961787324367e-33,0.1193221826874489,0.1193221826874489,-->,"(4,-1) --> (1,0)"
C,T4,0,0.018840345607710928,0.023512323232965007,0.023512323232965007,<--,"(4,0) <-- (3,0)"
C,T4,2,0.030143703277479672,0.021695152689023257,0.021695152689023257,<->,"(4,-2) <-> (3,0)"
C,u3,0,0.0019515656549474022,0.03099940523109122,0.03099940523109122,<--,"(4,0) <-- (8,0)"
P,T1,1,0.040587144249612433,-0.02049507226911132,0.02049507226911132,<->,"(5,-1) <-> (0,0)"
P,u2,0,0.0018611310555977228,0.031136689288034515,0.031136689288034515,<--,"(5,0) <-- (7,0)"
P,u4,0,0.00013831038021475938,0.038133132583496654,0.038133132583496654,<--,"(5,0) <-- (9,0)"
