source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,0,1.3799450574963072e-244,0.32518056648234683,0.32518056648234683,-->,"(0,0) --> (1,0)"
T1,T2,1,7.237110165420916e-101,0.21099101005114618,0.21099101005114618,-->,"(0,-1) --> (1,0)"
T1,C,0,2.593765579107086e-56,0.15732973848295412,0.15732973848295412,-->,"(0,0) --> (4,0)"
T1,C,1,4.263246011462069e-15,0.07844065954237756,0.07844065954237756,-->,"(0,-1) --> (4,0)"
T1,u1,0,0.0011151067970517797,0.03262064039823502,0.03262064039823502,<--,"(0,0) <-- (6,0)"
T2,T1,0,1.3799450574963072e-244,0.32518056648234683,0.32518056648234683,<--,"(1,0) <-- (0,0)"
T2,T1,1,1.4906483371138709e-102,0.21274059078264107,0.21274059078264107,-->,"(1,-1) --> (0,0)"
T2,C,0,7.617740334998701e-52,0.15079165887432425,0.15079165887432425,-->,"(1,0) --> (4,0)"
T2,C,1,7.843696101347818e-20,0.09106174052036209,0.09106174052036209,-->,"(1,-1) --> (4,0)"
T2,u2,0,1.48487771602591e-09,0.0604455117849903,0.0604455117849903,<--,"(1,0) <-- (7,0)"
T3,C,2,0.0003738762897400032,0.035605701786681154,0.035605701786681154,<->,"(2,-2) <-> (4,0)"
T3,P,2,0.00031171918832270917,0.03607706725415592,0.03607706725415592,<->,"(2,-2) <-> (5,0)"
T3,u3,0,7.636450334210615e-23,0.09819035039627967,0.09819035039627967,<--,"(2,0) <-- (8,0)"
T4,C,0,0.04332293654755512,0.020227545564980243,0.020227545564980243,<->,"(3,0) <-> (4,0)"
T4,C,2,0.0007202497766907538,0.03384254617723588,0.03384254617723588,-->,"(3,-2) --> (4,0)"
T4,P,1,0.003492634512892716,0.029224726326870867,0.029224726326870867,-->,"(3,-1) --> (5,0)"
T4,u4,0,3.92423290902256e-14,0.07556256597201892,0.07556256597201892,<--,"(3,0) <-- (9,0)"
C,T1,0,2.593765579107086e-56,0.15732973848295412,0.15732973848295412,<--,"(4,0) <-- (0,0)"
C,T1,1,1.9532470717958526e-20,0.092544682228318,0.092544682228318,<->,"(4,-1) <-> (0,0)"
C,T2,0,7.617740334998701e-52,0.15079165887432425,0.15079165887432425,<--,"(4,0) <-- (1,0)"
C,T2,1,2.1696984066559143e-19,0.08995305320614236,0.08995305320614236,<->,"(4,-1) <-> (1,0)"
C,T4,0,0.04332293654755512,0.020227545564980243,0.020227545564980243,<->,"(4,0) <-> (3,0)"
C,T4,2,0.004943804829337227,0.028121564370727874,0.028121564370727874,<->,"(4,-2) <-> (3,0)"
C,u3,0,0.011070459131798403,0.02542536368166908,0.02542536368166908,<--,"(4,0) <-- (8,0)"
