source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T3,1,0.0018985180394293828,0.031070129937450747,0.031070129937450747,-->,"(0,-1) --> (2,0)"
T2,P,1,0.0033922836188847254,0.02931399063833723,0.02931399063833723,o->,"(1,-1) o-> (5,0)"
T2,P,2,2.6541827084734846e-05,0.04202885549540242,0.04202885549540242,o->,"(1,-2) o-> (5,0)"
T3,C,0,0.02825327953909273,0.021951891022073896,0.021951891022073896,-->,"(2,0) --> (4,0)"
T3,u3,0,5.5233300012657135e-176,0.277531245189382,0.277531245189382,<--,"(2,0) <-- (8,0)"
T4,u4,0,1.4303469175585679e-158,0.26371825314659336,0.26371825314659336,<--,"(3,0) <-- (9,0)"
C,T3,0,0.02825327953909273,0.021951891022073896,0.021951891022073896,<--,"(4,0) <-- (2,0)"
C,T4,1,0.017308759424568176,0.0238171069791096,0.0238171069791096,-->,"(4,-1) --> (3,0)"
C,T4,2,9.858242171883318e-05,-0.03895207064409543,0.03895207064409543,-->,"(4,-2) --> (3,0)"
P,u3,0,0.0012364728678907527,0.03231992205801142,0.03231992205801142,<--,"(5,0) <-- (8,0)"
u1,T1,1,2.7966939923285278e-18,0.08706110348584586,0.08706110348584586,-->,"(6,-1) --> (0,0)"
u1,T1,2,0.03708403194712912,0.0208570625366018,0.0208570625366018,-->,"(6,-2) --> (0,0)"
u1,T3,2,0.012658660699494647,-0.02494527027958634,0.02494527027958634,-->,"(6,-2) --> (2,0)"
u1,P,1,6.355576993177226e-21,0.09370079736860538,0.09370079736860538,-->,"(6,-1) --> (5,0)"
u1,P,2,3.376089467885464e-19,0.08944226350815936,0.08944226350815936,-->,"(6,-2) --> (5,0)"
u2,T2,1,5.882123707182499e-11,0.0654181624438699,0.0654181624438699,-->,"(7,-1) --> (1,0)"
u2,T2,2,7.906361648547727e-08,0.05367127232493027,0.05367127232493027,-->,"(7,-2) --> (1,0)"
u2,T3,2,0.019802314399895108,-0.02331330118976624,0.02331330118976624,-->,"(7,-2) --> (2,0)"
u2,P,1,9.112716549479816e-40,0.13149341594463226,0.13149341594463226,-->,"(7,-1) --> (5,0)"
u2,P,2,3.453025183475506e-06,0.0464294706716423,0.0464294706716423,-->,"(7,-2) --> (5,0)"
u3,T3,0,5.5233300012657135e-176,0.277531245189382,0.277531245189382,-->,"(8,0) --> (2,0)"
u3,T3,1,0.0,0.8944545173650129,0.8944545173650129,-->,"(8,-1) --> (2,0)"
u3,T3,2,0.0,-0.9429842776912502,0.9429842776912502,-->,"(8,-2) --> (2,0)"
u3,T4,2,7.394192330049986e-06,-0.044827877743774266,0.044827877743774266,-->,"(8,-2) --> (3,0)"
u3,P,0,0.0012364728678907527,0.03231992205801142,0.03231992205801142,-->,"(8,0) --> (5,0)"
u3,P,1,9.437394213871323e-18,0.08571030204002034,0.08571030204002034,-->,"(8,-1) --> (5,0)"
u3,P,2,1.6834656127610755e-06,0.04788851413484266,0.04788851413484266,-->,"(8,-2) --> (5,0)"
u4,T4,0,1.4303469175585679e-158,0.26371825314659336,0.26371825314659336,-->,"(9,0) --> (3,0)"
u4,T4,1,0.0,0.891883460395978,0.891883460395978,-->,"(9,-1) --> (3,0)"
u4,T4,2,0.0,-0.940595033472549,0.940595033472549,-->,"(9,-2) --> (3,0)"
u4,C,1,1.328831609037968e-06,0.04834620204823427,0.04834620204823427,-->,"(9,-1) --> (4,0)"
u4,P,1,3.3855101939166477e-28,0.1098554304751515,0.1098554304751515,-->,"(9,-1) --> (5,0)"
u4,P,2,2.9199661229485536e-11,0.06648015383945856,0.06648015383945856,-->,"(9,-2) --> (5,0)"
