source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T3,1,0.023122245339863994,0.022725362163207505,0.022725362163207505,-->,"(0,-1) --> (2,0)"
T2,C,0,0.0,0.5244234943759725,0.5244234943759725,-->,"(1,0) --> (4,0)"
T2,C,1,4.183235527183002e-11,0.06597345925149356,0.06597345925149356,-->,"(1,-1) --> (4,0)"
T2,P,2,0.007403853164877764,0.026797083562200976,0.026797083562200976,-->,"(1,-2) --> (5,0)"
T2,u2,0,3.900361664004705e-56,0.15696824861657788,0.15696824861657788,<--,"(1,0) <-- (7,0)"
T4,C,0,0.016890271539710268,0.023910785676029965,0.023910785676029965,x-x,"(3,0) x-x (4,0)"
T4,P,1,9.034322329900163e-05,-0.03916893228317449,0.03916893228317449,<->,"(3,-1) <-> (5,0)"
T4,u4,0,1.7927370054432813e-174,0.27635699221876464,0.27635699221876464,<--,"(3,0) <-- (9,0)"
C,T2,0,0.0,0.5244234943759725,0.5244234943759725,<--,"(4,0) <-- (1,0)"
C,T2,1,0.041221901000357795,0.020429686991915684,0.020429686991915684,-->,"(4,-1) --> (1,0)"
C,T4,0,0.016890271539710268,0.023910785676029965,0.023910785676029965,x-x,"(4,0) x-x (3,0)"
C,P,1,0.03395462646362495,-0.021221228022367387,0.021221228022367387,-->,"(4,-1) --> (5,0)"
C,u1,0,0.0005713796125392078,0.03446842227742785,0.03446842227742785,<--,"(4,0) <-- (6,0)"
C,u3,0,2.4692612871174344e-09,0.0596309178618357,0.0596309178618357,<--,"(4,0) <-- (8,0)"
C,u4,0,4.111867631416329e-07,0.050648883021508675,0.050648883021508675,<--,"(4,0) <-- (9,0)"
u1,T1,1,1.0750256816481782e-22,0.09784801392232935,0.09784801392232935,-->,"(6,-1) --> (0,0)"
u1,T1,2,0.004196779858046455,0.028638960420835042,0.028638960420835042,-->,"(6,-2) --> (0,0)"
u1,C,0,0.0005713796125392078,0.03446842227742785,0.03446842227742785,-->,"(6,0) --> (4,0)"
u1,C,1,0.0,0.44846361498688586,0.44846361498688586,-->,"(6,-1) --> (4,0)"
u1,C,2,0.0,-0.5973198811247757,0.5973198811247757,-->,"(6,-2) --> (4,0)"
u1,P,1,4.403443548291717e-29,0.11166261309675243,0.11166261309675243,-->,"(6,-1) --> (5,0)"
u1,P,2,1.1001398590893891e-07,0.05309460624969988,0.05309460624969988,-->,"(6,-2) --> (5,0)"
u2,T1,2,0.0010268643581735164,-0.03283735852546482,0.03283735852546482,-->,"(7,-2) --> (0,0)"
u2,T2,0,3.900361664004705e-56,0.15696824861657788,0.15696824861657788,-->,"(7,0) --> (1,0)"
u2,T2,1,0.0,0.7693971515517989,0.7693971515517989,-->,"(7,-1) --> (1,0)"
u2,T2,2,0.0,-0.8778512024599059,0.8778512024599059,-->,"(7,-2) --> (1,0)"
u2,P,1,1.4549522201790678e-33,0.12038471357699923,0.12038471357699923,-->,"(7,-1) --> (5,0)"
u2,P,2,2.9753660193759087e-12,0.06975440402594046,0.06975440402594046,-->,"(7,-2) --> (5,0)"
u3,T3,1,5.0185431968569255e-31,0.11548678685014518,0.11548678685014518,-->,"(8,-1) --> (2,0)"
u3,T3,2,0.00030386864155861705,0.03612155612214971,0.03612155612214971,-->,"(8,-2) --> (2,0)"
u3,T4,2,2.7763736571561123e-06,-0.04687060641149528,0.04687060641149528,-->,"(8,-2) --> (3,0)"
u3,C,0,2.4692612871174344e-09,0.0596309178618357,0.0596309178618357,-->,"(8,0) --> (4,0)"
u3,C,1,4.82303046920421e-257,0.33292888439451485,0.33292888439451485,-->,"(8,-1) --> (4,0)"
u3,C,2,0.0,-0.5567232227956889,0.5567232227956889,-->,"(8,-2) --> (4,0)"
u3,P,1,2.828293663269446e-15,0.07891661265732416,0.07891661265732416,-->,"(8,-1) --> (5,0)"
u3,P,2,0.00010727168580127183,0.038748822743232006,0.038748822743232006,-->,"(8,-2) --> (5,0)"
u4,T4,0,1.7927370054432813e-174,0.27635699221876464,0.27635699221876464,-->,"(9,0) --> (3,0)"
u4,T4,1,0.0,0.8946305731721481,0.8946305731721481,-->,"(9,-1) --> (3,0)"
u4,T4,2,0.0,-0.9429750908047416,0.9429750908047416,-->,"(9,-2) --> (3,0)"
u4,C,0,4.111867631416329e-07,0.050648883021508675,0.050648883021508675,-->,"(9,0) --> (4,0)"
u4,C,1,4.752486845443716e-228,0.3144683597683602,0.3144683597683602,-->,"(9,-1) --> (4,0)"
u4,C,2,0.0,-0.539057195630614,0.539057195630614,-->,"(9,-2) --> (4,0)"
u4,P,1,2.994429014807832e-25,0.10361042709464471,0.10361042709464471,-->,"(9,-1) --> (5,0)"
u4,P,2,1.8325070554116035e-09,0.060109210948544434,0.060109210948544434,-->,"(9,-2) --> (5,0)"
