source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,0,7.123282869008568e-234,0.3183162030104385,0.3183162030104385,<->,"(0,0) <-> (1,0)"
T1,T2,1,1.7793553152995718e-97,0.20743433937698896,0.20743433937698896,-->,"(0,-1) --> (1,0)"
T1,C,0,1.1053927784093427e-55,0.15639099233429582,0.15639099233429582,-->,"(0,0) --> (4,0)"
T1,C,1,1.7600881245284855e-06,0.04780635542087119,0.04780635542087119,-->,"(0,-1) --> (4,0)"
T1,P,0,0.03968978278521164,-0.02059062719168467,0.02059062719168467,-->,"(0,0) --> (5,0)"
T1,u1,0,2.916696749911494e-12,0.06978578606040714,0.06978578606040714,<--,"(0,0) <-- (6,0)"
T2,T1,0,7.123282869008568e-234,0.3183162030104385,0.3183162030104385,<->,"(1,0) <-> (0,0)"
T2,T1,1,6.22494359372163e-85,0.19363748475199236,0.19363748475199236,-->,"(1,-1) --> (0,0)"
T2,C,0,4.1668425079714697e-53,0.15263620005845227,0.15263620005845227,-->,"(1,0) --> (4,0)"
T2,C,1,1.5428822185921508e-29,0.11260280828502472,0.11260280828502472,-->,"(1,-1) --> (4,0)"
T2,u2,0,1.8110434819088102e-06,0.04774182001742514,0.04774182001742514,<--,"(1,0) <-- (7,0)"
T3,P,2,0.0009915694129660727,0.032960534218122096,0.032960534218122096,<->,"(2,-2) <-> (5,0)"
T4,P,1,0.0025424003913771614,0.030197506951757176,0.030197506951757176,-->,"(3,-1) --> (5,0)"
C,T1,0,1.1053927784093427e-55,0.15639099233429582,0.15639099233429582,<--,"(4,0) <-- (0,0)"
C,T1,1,4.121357134062542e-26,0.10550408246114468,0.10550408246114468,-->,"(4,-1) --> (0,0)"
C,T2,0,4.1668425079714697e-53,0.15263620005845227,0.15263620005845227,<--,"(4,0) <-- (1,0)"
C,T2,1,1.6120321112866753e-46,0.1425907023071585,0.1425907023071585,-->,"(4,-1) --> (1,0)"
P,T1,0,0.03968978278521164,-0.02059062719168467,0.02059062719168467,<--,"(5,0) <-- (0,0)"
P,T1,1,2.1084475345449902e-08,-0.05604202927243086,0.05604202927243086,-->,"(5,-1) --> (0,0)"
P,T1,2,9.13076813138283e-49,-0.1461037662230705,0.1461037662230705,-->,"(5,-2) --> (0,0)"
P,T2,1,0.010549540540544857,-0.02558841418737019,0.02558841418737019,<->,"(5,-1) <-> (1,0)"
P,T2,2,1.6160631028664e-08,-0.05648350033557905,0.05648350033557905,-->,"(5,-2) --> (1,0)"
u1,T1,0,2.916696749911494e-12,0.06978578606040714,0.06978578606040714,-->,"(6,0) --> (0,0)"
u1,T1,1,0.0,0.49311995370203215,0.49311995370203215,-->,"(6,-1) --> (0,0)"
u1,T1,2,0.029090529738404744,-0.021839090670923003,0.021839090670923003,-->,"(6,-2) --> (0,0)"
u1,T2,2,0.0048479908415321816,0.02818307832998226,0.02818307832998226,-->,"(6,-2) --> (1,0)"
u1,C,1,0.034431033743731174,-0.021166031785621126,0.021166031785621126,-->,"(6,-1) --> (4,0)"
u1,P,1,2.7800528248571305e-242,0.3236700512444052,0.3236700512444052,-->,"(6,-1) --> (5,0)"
u1,P,2,3.066450931034741e-83,0.19164383348207364,0.19164383348207364,-->,"(6,-2) --> (5,0)"
u2,T1,2,1.0561149381612267e-59,-0.1620226248998003,0.1620226248998003,-->,"(7,-2) --> (0,0)"
u2,T2,0,1.8110434819088102e-06,0.04774182001742514,0.04774182001742514,-->,"(7,0) --> (1,0)"
u2,T2,1,0.0,0.5579137296119884,0.5579137296119884,-->,"(7,-1) --> (1,0)"
u2,T2,2,1.3464560201652904e-10,-0.06420182205284915,0.06420182205284915,-->,"(7,-2) --> (1,0)"
u2,T4,1,0.043746977967736196,-0.02017361285044552,0.02017361285044552,-->,"(7,-1) --> (3,0)"
u2,C,2,0.0385508927666434,-0.020704358463352283,0.020704358463352283,-->,"(7,-2) --> (4,0)"
u2,P,1,0.0,0.3910127959753591,0.3910127959753591,-->,"(7,-1) --> (5,0)"
u2,P,2,9.040126223779526e-70,0.1753333697225309,0.1753333697225309,-->,"(7,-2) --> (5,0)"
u3,T3,1,0.0,0.8221843393030712,0.8221843393030712,-->,"(8,-1) --> (2,0)"
u3,T3,2,4.360424753320797e-137,0.2454834395393386,0.2454834395393386,-->,"(8,-2) --> (2,0)"
u3,T4,2,0.04541585073861593,-0.02001633047802933,0.02001633047802933,-->,"(8,-2) --> (3,0)"
u3,C,1,1.0121293688384535e-95,0.20556169296584392,0.20556169296584392,-->,"(8,-1) --> (4,0)"
u3,P,1,0.0,0.40211058932708976,0.40211058932708976,-->,"(8,-1) --> (5,0)"
u3,P,2,6.117851102762118e-53,0.1523757356716661,0.1523757356716661,-->,"(8,-2) --> (5,0)"
u4,T4,1,0.0,0.8180215548125295,0.8180215548125295,-->,"(9,-1) --> (3,0)"
u4,T4,2,1.9245605277784687e-123,0.23314093189031826,0.23314093189031826,-->,"(9,-2) --> (3,0)"
u4,C,1,2.0456706912417742e-79,0.1871852584254561,0.1871852584254561,-->,"(9,-1) --> (4,0)"
u4,P,1,0.0,0.3976409891152732,0.3976409891152732,-->,"(9,-1) --> (5,0)"
u4,P,2,1.9315417483239736e-11,0.0670841131465322,0.0670841131465322,-->,"(9,-2) --> (5,0)"
