source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,0,3.9394023549372013e-215,0.30583677785034846,0.30583677785034846,<->,"(0,0) <-> (1,0)"
T1,T2,1,1.4118902220297127e-104,0.21483025169957543,0.21483025169957543,-->,"(0,-1) --> (1,0)"
T1,C,0,2.067591233615717e-57,0.15884804286076293,0.15884804286076293,-->,"(0,0) --> (4,0)"
T1,C,1,3.2579353709743963e-22,0.09678287432756826,0.09678287432756826,-->,"(0,-1) --> (4,0)"
T1,P,0,0.03552059097757387,-0.021044039262896327,0.021044039262896327,-->,"(0,0) --> (5,0)"
T1,u1,0,8.339292459926602e-10,0.061366892491963865,0.061366892491963865,<--,"(0,0) <-- (6,0)"
T2,T1,0,3.9394023549372013e-215,0.30583677785034846,0.30583677785034846,<->,"(1,0) <-> (0,0)"
T2,T1,1,3.626012992181193e-83,0.1915973282878457,0.1915973282878457,-->,"(1,-1) --> (0,0)"
T2,T3,2,0.0491047387691321,-0.019687212758599474,0.019687212758599474,-->,"(1,-2) --> (2,0)"
T2,C,0,8.136414583677788e-43,0.13666366557133813,0.13666366557133813,-->,"(1,0) --> (4,0)"
T2,C,1,1.1588958340079322e-24,0.10233547427972561,0.10233547427972561,-->,"(1,-1) --> (4,0)"
T2,u2,0,3.4271014420996473e-10,0.06276473390841912,0.06276473390841912,<--,"(1,0) <-- (7,0)"
T3,P,2,0.0025400172501858346,0.030207909151721904,0.030207909151721904,<->,"(2,-2) <-> (5,0)"
T3,u3,0,0.03361316133349509,0.021263030849843115,0.021263030849843115,<--,"(2,0) <-- (8,0)"
T4,P,1,0.005165319281031647,0.02798020720496743,0.02798020720496743,-->,"(3,-1) --> (5,0)"
C,T1,0,2.067591233615717e-57,0.15884804286076293,0.15884804286076293,<--,"(4,0) <-- (0,0)"
C,T1,1,8.773783309313247e-40,0.13156080780230267,0.13156080780230267,-->,"(4,-1) --> (0,0)"
C,T2,0,8.136414583677788e-43,0.13666366557133813,0.13666366557133813,<--,"(4,0) <-- (1,0)"
C,T2,1,6.980713319937756e-60,0.16227878511629243,0.16227878511629243,-->,"(4,-1) --> (1,0)"
C,T3,2,0.01953925903970459,0.023359877791430964,0.023359877791430964,-->,"(4,-2) --> (2,0)"
P,T1,0,0.03552059097757387,-0.021044039262896327,0.021044039262896327,<--,"(5,0) <-- (0,0)"
P,T1,1,1.2726030037765681e-08,-0.05690928324320299,0.05690928324320299,-->,"(5,-1) --> (0,0)"
P,T1,2,3.032290982635895e-54,-0.1542843426222309,0.1542843426222309,-->,"(5,-2) --> (0,0)"
P,T2,1,3.063664460582575e-07,-0.051211242357587346,0.051211242357587346,-->,"(5,-1) --> (1,0)"
P,T2,2,2.9438072070473323e-52,-0.15136773971844633,0.15136773971844633,-->,"(5,-2) --> (1,0)"
u1,T1,0,8.339292459926602e-10,0.061366892491963865,0.061366892491963865,-->,"(6,0) --> (0,0)"
u1,T1,1,0.0,0.5333197009113573,0.5333197009113573,-->,"(6,-1) --> (0,0)"
u1,T2,2,1.5378970552653375e-107,-0.21781427297870729,0.21781427297870729,-->,"(6,-2) --> (1,0)"
u1,P,1,0.0,0.3829565495176069,0.3829565495176069,-->,"(6,-1) --> (5,0)"
u1,P,2,3.0343188859612935e-74,0.18091579597380122,0.18091579597380122,-->,"(6,-2) --> (5,0)"
u2,T1,2,9.24788125374033e-167,-0.27029025642337934,0.27029025642337934,-->,"(7,-2) --> (0,0)"
u2,T2,0,3.4271014420996473e-10,0.06276473390841912,0.06276473390841912,-->,"(7,0) --> (1,0)"
u2,T2,1,0.0,0.5952986436379665,0.5952986436379665,-->,"(7,-1) --> (1,0)"
u2,T2,2,4.402224661476838e-05,-0.040869539895798904,0.040869539895798904,-->,"(7,-2) --> (1,0)"
u2,T4,1,0.042755270692625046,-0.020271520401167045,0.020271520401167045,-->,"(7,-1) --> (3,0)"
u2,C,1,0.04471920620243877,-0.02008439821755923,0.02008439821755923,-->,"(7,-1) --> (4,0)"
u2,P,1,0.0,0.3754717220362674,0.3754717220362674,-->,"(7,-1) --> (5,0)"
u2,P,2,4.101439294777484e-62,0.16529258075295994,0.16529258075295994,-->,"(7,-2) --> (5,0)"
u3,T3,0,0.03361316133349509,0.021263030849843115,0.021263030849843115,-->,"(8,0) --> (2,0)"
