source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,0,0.0,0.4895321325335005,0.4895321325335005,<->,"(0,0) <-> (1,0)"
T1,T2,1,9.167281036470077e-70,0.17535159709909243,0.17535159709909243,-->,"(0,-1) --> (1,0)"
T1,T2,2,5.5852796423092866e-05,-0.04030965949120002,0.04030965949120002,-->,"(0,-2) --> (1,0)"
T1,C,0,3.001615516886984e-82,0.19055100405834888,0.19055100405834888,-->,"(0,0) --> (4,0)"
T1,C,1,3.0381824931380532e-09,0.0593038466576962,0.0593038466576962,-->,"(0,-1) --> (4,0)"
T1,u1,0,3.0176079632152173e-15,0.07883218113932958,0.07883218113932958,<--,"(0,0) <-- (6,0)"
T2,T1,0,0.0,0.4895321325335005,0.4895321325335005,<->,"(1,0) <-> (0,0)"
T2,T1,1,7.861884481758305e-82,0.19003559404217102,0.19003559404217102,-->,"(1,-1) --> (0,0)"
T2,T1,2,7.831575112489438e-11,-0.06501634233232223,0.06501634233232223,-->,"(1,-2) --> (0,0)"
T2,C,0,1.988414309779751e-87,0.19647964367879275,0.19647964367879275,-->,"(1,0) --> (4,0)"
T2,C,1,3.251140357913034e-19,0.08951042557307223,0.08951042557307223,-->,"(1,-1) --> (4,0)"
T2,C,2,0.031695967697828,-0.02150180699207902,0.02150180699207902,-->,"(1,-2) --> (4,0)"
T2,P,1,0.036151817563105114,-0.02097766598050386,0.02097766598050386,<->,"(1,-1) <-> (5,0)"
T2,u2,0,7.554099329548506e-13,0.07164278004253487,0.07164278004253487,<--,"(1,0) <-- (7,0)"
T3,C,2,0.00010531333781213331,0.03880531430285211,0.03880531430285211,-->,"(2,-2) --> (4,0)"
T3,P,2,0.0003891165643781599,0.03549168979766945,0.03549168979766945,-->,"(2,-2) --> (5,0)"
T3,u4,0,0.01709756486939379,-0.023855163314076878,0.023855163314076878,<--,"(2,0) <-- (9,0)"
T4,C,2,0.0027816540405350668,0.029932898674240233,0.029932898674240233,o->,"(3,-2) o-> (4,0)"
T4,P,1,0.004153031594823698,0.028677883852392814,0.028677883852392814,-->,"(3,-1) --> (5,0)"
C,T1,0,3.001615516886984e-82,0.19055100405834888,0.19055100405834888,<--,"(4,0) <-- (0,0)"
C,T1,1,3.1909905521755614e-34,0.12163196359821485,0.12163196359821485,-->,"(4,-1) --> (0,0)"
C,T2,0,1.988414309779751e-87,0.19647964367879275,0.19647964367879275,<--,"(4,0) <-- (1,0)"
C,T2,1,4.820683848503982e-34,0.12131702744062325,0.12131702744062325,-->,"(4,-1) --> (1,0)"
C,T3,2,0.013714373469714455,0.024658258167840764,0.024658258167840764,<->,"(4,-2) <-> (2,0)"
C,T4,2,0.0023163373422557016,0.03047553353242168,0.03047553353242168,<->,"(4,-2) <-> (3,0)"
P,T1,1,0.0015104291393412638,-0.031743338738779915,0.031743338738779915,<->,"(5,-1) <-> (0,0)"
P,T1,2,1.6975369966970223e-05,-0.043020574270773666,0.043020574270773666,x->,"(5,-2) x-> (0,0)"
P,T2,1,0.03833852024602578,-0.020726014407354942,0.020726014407354942,<->,"(5,-1) <-> (1,0)"
P,T2,2,5.863432560018137e-18,-0.08624049879241767,0.08624049879241767,<->,"(5,-2) <-> (1,0)"
u1,T1,0,3.0176079632152173e-15,0.07883218113932958,0.07883218113932958,-->,"(6,0) --> (0,0)"
u1,T1,1,0.0,0.5230355660626856,0.5230355660626856,-->,"(6,-1) --> (0,0)"
u1,T1,2,3.767738203417749e-77,-0.18442385692001675,0.18442385692001675,-->,"(6,-2) --> (0,0)"
u1,C,1,1.8685142334435286e-12,0.07041380281659837,0.07041380281659837,-->,"(6,-1) --> (4,0)"
u1,C,2,5.171332907859037e-06,-0.04559791684995532,0.04559791684995532,-->,"(6,-2) --> (4,0)"
u1,P,1,0.0,0.37438602601933746,0.37438602601933746,-->,"(6,-1) --> (5,0)"
u1,P,2,8.9818863433614e-89,0.19793006375835492,0.19793006375835492,-->,"(6,-2) --> (5,0)"
u2,T2,0,7.554099329548506e-13,0.07164278004253487,0.07164278004253487,-->,"(7,0) --> (1,0)"
u2,T2,1,0.0,0.5094447841015565,0.5094447841015565,-->,"(7,-1) --> (1,0)"
u2,T2,2,1.2482867165119215e-244,-0.32514659594303313,0.32514659594303313,-->,"(7,-2) --> (1,0)"
u2,C,1,1.0174010730239222e-12,0.07126020653971046,0.07126020653971046,-->,"(7,-1) --> (4,0)"
u2,C,2,4.867759361373772e-17,-0.0838367183335726,0.0838367183335726,-->,"(7,-2) --> (4,0)"
u2,P,1,0.0,0.374116517357133,0.374116517357133,-->,"(7,-1) --> (5,0)"
u2,P,2,3.479534223344586e-83,0.19158037053086135,0.19158037053086135,-->,"(7,-2) --> (5,0)"
u3,T3,1,0.0,0.8137241289512955,0.8137241289512955,-->,"(8,-1) --> (2,0)"
u3,T3,2,2.8558919155273163e-122,0.23203364444078017,0.23203364444078017,-->,"(8,-2) --> (2,0)"
u3,T4,2,0.018067557225283144,-0.023650237053668224,0.023650237053668224,-->,"(8,-2) --> (3,0)"
u3,C,1,1.7216214821344397e-239,0.3219305410495261,0.3219305410495261,-->,"(8,-1) --> (4,0)"
u3,C,2,4.47963446140347e-26,0.10542645312762,0.10542645312762,-->,"(8,-2) --> (4,0)"
u3,P,1,0.0,0.38307232001462344,0.38307232001462344,-->,"(8,-1) --> (5,0)"
u3,P,2,1.1094692682070073e-48,0.14596634843618547,0.14596634843618547,-->,"(8,-2) --> (5,0)"
u4,T3,0,0.01709756486939379,-0.023855163314076878,0.023855163314076878,-->,"(9,0) --> (2,0)"
u4,T4,1,0.0,0.80812327516145,0.80812327516145,-->,"(9,-1) --> (3,0)"
u4,T4,2,3.51501863473996e-117,0.22720320930179133,0.22720320930179133,-->,"(9,-2) --> (3,0)"
u4,C,1,8.519180566894032e-245,0.32531329645246887,0.32531329645246887,-->,"(9,-1) --> (4,0)"
u4,C,2,5.386245186111658e-24,0.10086547165592157,0.10086547165592157,-->,"(9,-2) --> (4,0)"
u4,P,1,0.0,0.3942332826493505,0.3942332826493505,-->,"(9,-1) --> (5,0)"
u4,P,2,8.17870721067e-11,0.06494801671591054,0.06494801671591054,-->,"(9,-2) --> (5,0)"
