source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,0,0.01142073132104964,0.025311120258446215,0.025311120258446215,<--,"(0,0) <-- (1,0)"
T1,T2,1,1.0861362410987897e-37,-0.12787224409801262,0.12787224409801262,-->,"(0,-1) --> (1,0)"
T1,C,0,0.0,0.9370756824580133,0.9370756824580133,<--,"(0,0) <-- (4,0)"
T1,C,1,6.268455469579998e-19,-0.08877834847903904,0.08877834847903904,-->,"(0,-1) --> (4,0)"
T1,C,2,0.00024208747563872108,0.03672465097400031,0.03672465097400031,-->,"(0,-2) --> (4,0)"
T1,P,1,7.394375522103671e-07,0.04951758502231573,0.04951758502231573,-->,"(0,-1) --> (5,0)"
T2,T1,0,0.01142073132104964,0.025311120258446215,0.025311120258446215,-->,"(1,0) --> (0,0)"
T2,C,0,1.2143102936474812e-268,0.34008606526638,0.34008606526638,<--,"(1,0) <-- (4,0)"
T2,P,1,1.435920354801903e-07,-0.05260765088969368,0.05260765088969368,-->,"(1,-1) --> (5,0)"
T3,C,2,0.0022533151822469425,-0.030567541288193115,0.030567541288193115,-->,"(2,-2) --> (4,0)"
T4,u4,0,2.052877410426229e-74,0.18115994633402782,0.18115994633402782,<--,"(3,0) <-- (9,0)"
C,T1,0,0.0,0.9370756824580133,0.9370756824580133,-->,"(4,0) --> (0,0)"
C,T1,1,0.00264548266128122,-0.030078365456041558,0.030078365456041558,-->,"(4,-1) --> (0,0)"
C,T2,0,1.2143102936474812e-268,0.34008606526638,0.34008606526638,-->,"(4,0) --> (1,0)"
C,T2,1,0.01785349798564052,-0.02370384786011622,0.02370384786011622,-->,"(4,-1) --> (1,0)"
C,T3,2,1.4062687984337907e-05,-0.043428945875146445,0.043428945875146445,<->,"(4,-2) <-> (2,0)"
C,T4,1,0.04713182732824455,0.019865573693471722,0.019865573693471722,<->,"(4,-1) <-> (3,0)"
C,P,2,0.012447196944722128,-0.025007539176405642,0.025007539176405642,-->,"(4,-2) --> (5,0)"
P,T1,2,0.0018347979097314375,-0.031167824771573344,0.031167824771573344,-->,"(5,-2) --> (0,0)"
u1,T1,1,3.1426274513158075e-122,0.2320285462523607,0.2320285462523607,-->,"(6,-1) --> (0,0)"
u1,T1,2,8.988456400518355e-14,-0.0744852992225645,0.0744852992225645,-->,"(6,-2) --> (0,0)"
u1,C,1,1.0855751000092531e-204,0.29854472391477116,0.29854472391477116,-->,"(6,-1) --> (4,0)"
u1,C,2,7.058544352509857e-50,-0.14781076941165308,0.14781076941165308,-->,"(6,-2) --> (4,0)"
u1,P,1,0.00012428576864579024,-0.038390765897753636,0.038390765897753636,-->,"(6,-1) --> (5,0)"
u1,P,2,0.006735787338140619,-0.02711100363057418,0.02711100363057418,-->,"(6,-2) --> (5,0)"
u2,T2,1,0.0,0.4031465810444479,0.4031465810444479,-->,"(7,-1) --> (1,0)"
u2,T2,2,0.0,-0.4642699464610042,0.4642699464610042,-->,"(7,-2) --> (1,0)"
u2,C,1,2.6323848883916996e-181,0.28157501578762856,0.28157501578762856,-->,"(7,-1) --> (4,0)"
u2,C,2,4.228312355169884e-127,-0.23663083769083987,0.23663083769083987,-->,"(7,-2) --> (4,0)"
u2,P,1,5.584925562638165e-21,0.09384081211633219,0.09384081211633219,-->,"(7,-1) --> (5,0)"
u2,P,2,1.3774255701425325e-52,-0.15184085928539953,0.15184085928539953,-->,"(7,-2) --> (5,0)"
u3,T3,1,1.4214885892072244e-92,0.20204703116006656,0.20204703116006656,-->,"(8,-1) --> (2,0)"
u3,T3,2,7.32418215258094e-27,0.10704155527431769,0.10704155527431769,-->,"(8,-2) --> (2,0)"
u3,C,1,1.1268464799249018e-204,0.29856186546745445,0.29856186546745445,-->,"(8,-1) --> (4,0)"
u3,C,2,2.235691473705545e-99,-0.2094216475971076,0.2094216475971076,-->,"(8,-2) --> (4,0)"
u4,T4,0,2.052877410426229e-74,0.18115994633402782,0.18115994633402782,-->,"(9,0) --> (3,0)"
u4,T4,1,0.0,0.9609077349282036,0.9609077349282036,-->,"(9,-1) --> (3,0)"
u4,T4,2,0.0,-0.9780633071756915,0.9780633071756915,-->,"(9,-2) --> (3,0)"
u4,C,1,4.24060096279435e-223,0.3111933015893731,0.3111933015893731,-->,"(9,-1) --> (4,0)"
u4,C,2,2.7494330055306033e-142,-0.25014948554258004,0.25014948554258004,-->,"(9,-2) --> (4,0)"
u4,P,1,5.857476889938494e-25,0.10297275186280438,0.10297275186280438,-->,"(9,-1) --> (5,0)"
