source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,1,0.014234557094247542,0.02453067646606084,0.02453067646606084,-->,"(0,-1) --> (1,0)"
T1,T2,2,1.2317845416649965e-28,-0.1107494236202499,0.1107494236202499,-->,"(0,-2) --> (1,0)"
T1,T3,2,0.0001536109922779228,0.03785978541063127,0.03785978541063127,-->,"(0,-2) --> (2,0)"
T1,C,0,1.486346265062553e-159,0.264643476799121,0.264643476799121,-->,"(0,0) --> (4,0)"
T1,C,1,1.7331340979736092e-195,-0.29203191299683445,0.29203191299683445,-->,"(0,-1) --> (4,0)"
T1,C,2,1.9306757820349021e-90,0.19981241998639065,0.19981241998639065,-->,"(0,-2) --> (4,0)"
T2,T1,2,7.402738515365313e-61,-0.16360065020544984,0.16360065020544984,-->,"(1,-2) --> (0,0)"
T2,T3,1,0.021178603441349676,-0.023068443049043215,0.023068443049043215,<->,"(1,-1) <-> (2,0)"
T2,C,0,6.453834455030067e-101,0.21099121452317954,0.21099121452317954,<->,"(1,0) <-> (4,0)"
T2,C,1,8.186976078269649e-17,-0.08320511593781771,0.08320511593781771,<->,"(1,-1) <-> (4,0)"
T2,C,2,7.836876983271143e-08,-0.053730129204460866,0.053730129204460866,-->,"(1,-2) --> (4,0)"
T3,P,0,0.00607018376524505,-0.027448904006583112,0.027448904006583112,<->,"(2,0) <-> (5,0)"
T3,P,1,3.5354838720522654e-05,0.041392127522439724,0.041392127522439724,<->,"(2,-1) <-> (5,0)"
T3,u3,0,1.2494525960070927e-63,0.16737078399348482,0.16737078399348482,<--,"(2,0) <-- (8,0)"
T4,P,2,9.911686854778516e-05,-0.03895456088324163,0.03895456088324163,-->,"(3,-2) --> (5,0)"
C,T1,0,1.486346265062553e-159,0.264643476799121,0.264643476799121,<--,"(4,0) <-- (0,0)"
C,T1,1,1.8398916651336356e-14,0.07656421603120102,0.07656421603120102,-->,"(4,-1) --> (0,0)"
C,T1,2,3.298729171541208e-05,-0.041530192135612765,0.041530192135612765,-->,"(4,-2) --> (0,0)"
C,T2,0,6.453834455030067e-101,0.21099121452317954,0.21099121452317954,<->,"(4,0) <-> (1,0)"
C,T2,2,0.037155571559285464,0.020854407460317602,0.020854407460317602,-->,"(4,-2) --> (1,0)"
C,P,1,3.307954379806569e-05,0.04155083821308632,0.04155083821308632,-->,"(4,-1) --> (5,0)"
P,T1,1,1.132482822741593e-84,-0.19332093963645405,0.19332093963645405,-->,"(5,-1) --> (0,0)"
P,T1,2,9.542782213282598e-05,0.03903471706200308,0.03903471706200308,-->,"(5,-2) --> (0,0)"
P,T2,1,0.0005184125616097304,0.03472877042687281,0.03472877042687281,<->,"(5,-1) <-> (1,0)"
P,T3,0,0.00607018376524505,-0.027448904006583112,0.027448904006583112,<->,"(5,0) <-> (2,0)"
P,T4,1,0.0009348691466062747,0.03312413970576761,0.03312413970576761,<->,"(5,-1) <-> (3,0)"
P,T4,2,3.717519058081047e-07,-0.0508429918490297,0.0508429918490297,<->,"(5,-2) <-> (3,0)"
P,u1,0,1.4064733308064166e-07,0.05266148508278887,0.05266148508278887,<--,"(5,0) <-- (6,0)"
P,u2,0,4.442563822269446e-15,0.07838521343986404,0.07838521343986404,<--,"(5,0) <-- (7,0)"
P,u3,0,2.3709863701041278e-08,0.055849790103485376,0.055849790103485376,<--,"(5,0) <-- (8,0)"
P,u4,0,3.404860148662542e-16,0.08152824752422909,0.08152824752422909,<--,"(5,0) <-- (9,0)"
u1,T1,1,0.0,0.906023994610897,0.906023994610897,-->,"(6,-1) --> (0,0)"
u1,T1,2,0.0,-0.9159428106690919,0.9159428106690919,-->,"(6,-2) --> (0,0)"
u1,C,2,0.03433191046991303,-0.021179803524319654,0.021179803524319654,-->,"(6,-2) --> (4,0)"
