source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string
T1,T2,0,0.0018136936141751147,-0.031208167579817384,0.031208167579817384,<->,"(0,0) <-> (1,0)"
T1,C,0,3.583874136149242e-13,0.07269704136501062,0.07269704136501062,x-x,"(0,0) x-x (4,0)"
T1,u1,0,7.47209163748304e-64,0.16760240608389257,0.16760240608389257,<--,"(0,0) <-- (6,0)"
T2,T1,0,0.0018136936141751147,-0.031208167579817384,0.031208167579817384,<->,"(1,0) <-> (0,0)"
T2,C,0,1.2212175551201328e-14,0.07710612227448073,0.07710612227448073,-->,"(1,0) --> (4,0)"
T2,P,0,0.004975481666840214,0.028119306308698654,0.028119306308698654,<->,"(1,0) <-> (5,0)"
T2,P,1,0.004028303594970551,-0.028793023497308362,0.028793023497308362,<->,"(1,-1) <-> (5,0)"
T2,u2,0,2.572751994363751e-75,0.18226391671516165,0.18226391671516165,<--,"(1,0) <-- (7,0)"
T3,T4,0,0.02311277842044854,0.022733756032026424,0.022733756032026424,<->,"(2,0) <-> (3,0)"
T3,P,0,0.005930265548554965,-0.0275253660458356,0.0275253660458356,<->,"(2,0) <-> (5,0)"
T3,P,1,0.017052674022442246,0.023885162257596862,0.023885162257596862,<->,"(2,-1) <-> (5,0)"
T3,u3,0,2.351552427717898e-86,0.19524813714366165,0.19524813714366165,<--,"(2,0) <-- (8,0)"
T4,T3,0,0.02311277842044854,0.022733756032026424,0.022733756032026424,<->,"(3,0) <-> (2,0)"
T4,P,0,2.5766348829609525e-08,0.0556967954637138,0.0556967954637138,-->,"(3,0) --> (5,0)"
T4,P,2,3.720177224070773e-05,-0.041275067072680006,0.041275067072680006,-->,"(3,-2) --> (5,0)"
T4,u4,0,7.371275026688844e-84,0.19239595132135962,0.19239595132135962,<--,"(3,0) <-- (9,0)"
C,T1,0,3.583874136149242e-13,0.07269704136501062,0.07269704136501062,x-x,"(4,0) x-x (0,0)"
C,T2,0,1.2212175551201328e-14,0.07710612227448073,0.07710612227448073,<--,"(4,0) <-- (1,0)"
C,T4,2,0.04659758686497647,0.019912861791036223,0.019912861791036223,<->,"(4,-2) <-> (3,0)"
C,P,0,5.690499066305797e-15,0.07809830883251066,0.07809830883251066,<--,"(4,0) <-- (5,0)"
C,u2,0,1.2531679994325895e-05,0.043705216431132884,0.043705216431132884,<--,"(4,0) <-- (7,0)"
C,u3,0,0.008335820953194302,0.02640139504442167,0.02640139504442167,<--,"(4,0) <-- (8,0)"
P,T1,1,0.024063320926892975,-0.022585974474060178,0.022585974474060178,<->,"(5,-1) <-> (0,0)"
P,T2,0,0.004975481666840214,0.028119306308698654,0.028119306308698654,<->,"(5,0) <-> (1,0)"
P,T3,0,0.005930265548554965,-0.0275253660458356,0.0275253660458356,<->,"(5,0) <-> (2,0)"
P,T4,0,2.5766348829609525e-08,0.0556967954637138,0.0556967954637138,<--,"(5,0) <-- (3,0)"
P,T4,1,0.0002631751257003177,0.03651613764111845,0.03651613764111845,<->,"(5,-1) <-> (3,0)"
P,T4,2,3.885410756659657e-06,-0.04618536490153443,0.04618536490153443,-->,"(5,-2) --> (3,0)"
P,C,0,5.690499066305797e-15,0.07809830883251066,0.07809830883251066,-->,"(5,0) --> (4,0)"
P,C,2,0.00013288101111008557,-0.03823580851745186,0.03823580851745186,-->,"(5,-2) --> (4,0)"
P,u1,0,2.1142240617420743e-09,0.05990143668748636,0.05990143668748636,<--,"(5,0) <-- (6,0)"
P,u2,0,1.2755475488018281e-13,0.0740795869795252,0.0740795869795252,<--,"(5,0) <-- (7,0)"
P,u3,0,4.1005975759592827e-10,0.06252011364668301,0.06252011364668301,<--,"(5,0) <-- (8,0)"
P,u4,0,2.1558862715114186e-19,0.08996002552188727,0.08996002552188727,<--,"(5,0) <-- (9,0)"
u1,T1,0,7.47209163748304e-64,0.16760240608389257,0.16760240608389257,-->,"(6,0) --> (0,0)"
u1,T1,1,0.0,0.9450559988772105,0.9450559988772105,-->,"(6,-1) --> (0,0)"
u1,T1,2,0.0,-0.968284691772292,0.968284691772292,-->,"(6,-2) --> (0,0)"
u1,C,1,3.6859544268366785e-148,0.25516159207533695,0.25516159207533695,-->,"(6,-1) --> (4,0)"
u1,C,2,1.5813193312364895e-55,-0.15615245719973986,0.15615245719973986,-->,"(6,-2) --> (4,0)"
u1,P,0,2.1142240617420743e-09,0.05990143668748636,0.05990143668748636,-->,"(6,0) --> (5,0)"
u1,P,1,2.052206474884569e-232,0.3173797691819821,0.3173797691819821,-->,"(6,-1) --> (5,0)"
u1,P,2,1.4115495803671173e-99,-0.20967244116022715,0.20967244116022715,-->,"(6,-2) --> (5,0)"
u2,T2,0,2.572751994363751e-75,0.18226391671516165,0.18226391671516165,-->,"(7,0) --> (1,0)"
u2,T2,1,0.0,0.9400375659059557,0.9400375659059557,-->,"(7,-1) --> (1,0)"
u2,T2,2,0.0,-0.9674681995731679,0.9674681995731679,-->,"(7,-2) --> (1,0)"
u2,C,0,1.2531679994325895e-05,0.043705216431132884,0.043705216431132884,-->,"(7,0) --> (4,0)"
u2,P,0,1.2755475488018281e-13,0.0740795869795252,0.0740795869795252,-->,"(7,0) --> (5,0)"
u2,P,1,6.034539415274291e-229,0.3151044397424305,0.3151044397424305,-->,"(7,-1) --> (5,0)"
u2,P,2,9.002204804769592e-102,-0.2119633398750499,0.2119633398750499,-->,"(7,-2) --> (5,0)"
u3,T3,0,2.351552427717898e-86,0.19524813714366165,0.19524813714366165,-->,"(8,0) --> (2,0)"
u3,T3,1,0.0,0.9583879644457558,0.9583879644457558,-->,"(8,-1) --> (2,0)"
u3,T3,2,0.0,-0.9771416301311674,0.9771416301311674,-->,"(8,-2) --> (2,0)"
