regime,method,N1,N2,N3
zero,Average LSE,0.5283496236965799,0.529166409201283,0.4668366402196004
zero,Average LSE + graph zero,0.5164186335952909,0.5187535926627616,0.462757397964801
zero,Average LSE + graph control,0.6130414179213766,0.6132845707694636,0.6038792056763981
zero,Expanded LSE,0.5157781967127539,0.5176219731711074,0.43121778772732766
zero,Expanded LSE + graph zero,0.4905502508897369,0.49468594663418664,0.4248678471992548
zero,Expanded LSE + graph control,0.4954891908846557,0.49913045743076656,0.4132229036338842
zero,Linear state-space estimator,0.5892016774649755,0.5892634089155223,0.586354513438667
zero,Neural ODE,0.44089498881414063,0.4524181932195477,11.109688321805724
zero,LSTM sequence model,0.6091869994902214,0.6067429393719186,0.5886848311728443
zero,Linear residual DML,0.6146605359769908,0.614715428036373,0.6109278224834854
zero,Linear residual DML + graph zero,0.6129179309203637,0.6131791502326646,0.5995714136127892
zero,Linear residual DML + graph control,0.6129179309203637,0.6131791502326646,0.616460779264757
zero,Expanded DML,0.5847042405706885,0.6124988531785529,1.492260745605566
zero,Expanded DML + graph zero,0.26701424040498556,0.2928354794851301,1.1100965197895698
zero,Expanded DML + graph control,0.26701424040498556,0.2928354794851301,1.0326806960661186
zero,RBF GP,0.10706171549107409,0.11787283908656984,0.282134454852804
zero,Matern GP,0.19058545934674315,0.20782444148761722,0.22246403162106212
var,Average LSE,0.7316395263358454,0.7371213555527202,0.7874998218215262
var,Average LSE + graph zero,0.6418579728575817,0.6473881295692754,0.7341007785495522
var,Average LSE + graph control,0.5729438483991262,0.5736733093552064,0.5919902984169986
var,Expanded LSE,0.42236705332258373,0.42088471949406314,0.4391401873501216
var,Expanded LSE + graph zero,0.4113657528625076,0.40842863131393853,0.42701607624485816
var,Expanded LSE + graph control,0.4111796965077813,0.40897181116078674,0.42936242671577673
var,Linear state-space estimator,0.5373901604373367,0.5375748673797063,0.5443620806626613
var,Neural ODE,0.7405549083724088,0.7391160004599302,1995.098532071434
var,LSTM sequence model,0.6019125030532866,0.6039292918577289,0.5772094361474325
var,Linear residual DML,0.5788407949997765,0.5793331262287762,0.579927266447194
var,Linear residual DML + graph zero,0.5712145965557631,0.5716056252238946,0.5665080462949538
var,Linear residual DML + graph control,0.5712145965557631,0.5716056252238946,0.5952914573389366
var,Expanded DML,0.09223564567052432,0.09697135187178949,0.7949393849509373
var,Expanded DML + graph zero,0.06735440746347657,0.07137069293804026,0.38869263225706374
var,Expanded DML + graph control,0.06735440746347657,0.07137069293804026,0.11040349177709893
var,RBF GP,0.07536255355062606,0.07553645150054476,0.09262160208023675
var,Matern GP,0.0304981879277411,0.03504380860850893,0.048667288449525725
