regime,method,noise,h_profile,mean_absolute_error,max_absolute_error,count
var,Average LSE,N1,Hbrn,0.7340189205744093,1.2943347543070134,2
var,Average LSE,N1,Hdec,0.7236561668563475,1.2583858895581972,2
var,Average LSE,N1,Hprbs,0.7274207173269813,1.269118698150087,2
var,Average LSE,N1,Hsin,0.750233182485858,1.3408605897689139,2
var,Average LSE,N1,Hstep,0.7228686444356307,1.2558797967916058,2
var,Average LSE,N2,Hbrn,0.7430367587873662,1.3112117029805554,2
var,Average LSE,N2,Hdec,0.7384606678698334,1.2765759090571787,2
var,Average LSE,N2,Hprbs,0.721054710103563,1.2632768696746757,2
var,Average LSE,N2,Hsin,0.743953702637262,1.3439619949041814,2
var,Average LSE,N2,Hstep,0.7391009383655764,1.2788548190761626,2
var,Average LSE,N3,Hbrn,0.7957392361748123,1.4788203656909549,2
var,Average LSE,N3,Hdec,0.7701531251440579,1.4428715009421382,2
var,Average LSE,N3,Hprbs,0.7771213832653134,1.4536043095340276,2
var,Average LSE,N3,Hsin,0.8260508097252641,1.5253462011528551,2
var,Average LSE,N3,Hstep,0.7684345547981835,1.440365408175547,2
var,Average LSE + graph control,N1,Hbrn,0.5755774878472193,1.1511549756944386,2
var,Average LSE + graph control,N1,Hdec,0.5692537159879134,1.1385074319758268,2
var,Average LSE + graph control,N1,Hprbs,0.5780130335761001,1.1560260671522002,2
var,Average LSE + graph control,N1,Hsin,0.5726226213834791,1.1452452427669582,2
var,Average LSE + graph control,N1,Hstep,0.5692523832009189,1.1385047664018377,2
var,Average LSE + graph control,N2,Hbrn,0.5761937035347113,1.1523874070694227,2
var,Average LSE + graph control,N2,Hdec,0.5709538120564512,1.1419076241129025,2
var,Average LSE + graph control,N2,Hprbs,0.5779117940580809,1.1558235881161618,2
var,Average LSE + graph control,N2,Hsin,0.5736641175188688,1.1473282350377376,2
var,Average LSE + graph control,N2,Hstep,0.5696431196079201,1.1392862392158403,2
var,Average LSE + graph control,N3,Hbrn,0.5995222909083558,1.1990445818167117,2
var,Average LSE + graph control,N3,Hdec,0.594317725627556,1.188635451255112,2
var,Average LSE + graph control,N3,Hprbs,0.5779163566158148,1.1558327132316295,2
var,Average LSE + graph control,N3,Hsin,0.5950362888592513,1.1900725777185026,2
var,Average LSE + graph control,N3,Hstep,0.593158830074015,1.18631766014803,2
var,Average LSE + graph zero,N1,Hbrn,0.6471673771535067,1.2943347543070134,2
var,Average LSE + graph zero,N1,Hdec,0.6291929447790986,1.2583858895581972,2
var,Average LSE + graph zero,N1,Hprbs,0.6345593490750435,1.269118698150087,2
var,Average LSE + graph zero,N1,Hsin,0.6704302948844569,1.3408605897689139,2
var,Average LSE + graph zero,N1,Hstep,0.6279398983958029,1.2558797967916058,2
var,Average LSE + graph zero,N2,Hbrn,0.6556058514902777,1.3112117029805554,2
var,Average LSE + graph zero,N2,Hdec,0.6382879545285893,1.2765759090571787,2
var,Average LSE + graph zero,N2,Hprbs,0.6316384348373378,1.2632768696746757,2
var,Average LSE + graph zero,N2,Hsin,0.6719809974520907,1.3439619949041814,2
var,Average LSE + graph zero,N2,Hstep,0.6394274095380813,1.2788548190761626,2
var,Average LSE + graph zero,N3,Hbrn,0.7394101828454774,1.4788203656909549,2
var,Average LSE + graph zero,N3,Hdec,0.7214357504710691,1.4428715009421382,2
var,Average LSE + graph zero,N3,Hprbs,0.7268021547670138,1.4536043095340276,2
var,Average LSE + graph zero,N3,Hsin,0.7626731005764276,1.5253462011528551,2
var,Average LSE + graph zero,N3,Hstep,0.7201827040877735,1.440365408175547,2
var,Expanded DML,N1,Hbrn,0.11257580178546697,0.16618924198673035,2
var,Expanded DML,N1,Hdec,0.1488396839688328,0.2174255468829056,2
var,Expanded DML,N1,Hprbs,0.01085602287417231,0.01617850745275362,2
var,Expanded DML,N1,Hsin,0.030265763776148716,0.04209449842433033,2
var,Expanded DML,N1,Hstep,0.15864095594800087,0.2316562798880457,2
var,Expanded DML,N2,Hbrn,0.08803748982237476,0.14440055430788012,2
var,Expanded DML,N2,Hdec,0.16207946072819499,0.2578562059903833,2
var,Expanded DML,N2,Hprbs,0.030246800739587916,0.03900129296423893,2
var,Expanded DML,N2,Hsin,0.013640188225432856,0.0142745330938631,2
var,Expanded DML,N2,Hstep,0.19085281984335697,0.25944303276089764,2
var,Expanded DML,N3,Hbrn,0.8196219502155508,0.8239068058760886,2
var,Expanded DML,N3,Hdec,0.8558858323989007,0.8665733994511546,2
var,Expanded DML,N3,Hprbs,0.6961901255559109,0.759410905996297,2
var,Expanded DML,N3,Hsin,0.7373119122062368,0.7833814734198556,2
var,Expanded DML,N3,Hstep,0.8656871043780874,0.8808041324563272,2
var,Expanded DML + graph control,N1,Hbrn,0.08309462099336518,0.16618924198673035,2
var,Expanded DML + graph control,N1,Hdec,0.1087127734414528,0.2174255468829056,2
var,Expanded DML + graph control,N1,Hprbs,0.00808925372637681,0.01617850745275362,2
var,Expanded DML + graph control,N1,Hsin,0.021047249212165164,0.04209449842433033,2
var,Expanded DML + graph control,N1,Hstep,0.11582813994402286,0.2316562798880457,2
var,Expanded DML + graph control,N2,Hbrn,0.07220027715394006,0.14440055430788012,2
var,Expanded DML + graph control,N2,Hdec,0.12892810299519164,0.2578562059903833,2
