system,regime,method,h_sensitivity_ratio,noise_sensitivity_ratio
lumped,zero,Average LSE,1.1869343350452068,1.0285610925540458
lumped,zero,Average LSE + graph zero,1.176026382181212,1.010547091735728
lumped,zero,Average LSE + graph control,1.9423371245427334,1.2584053730562301
lumped,zero,Expanded LSE,2.24887165276092,1.2922949001100645
lumped,zero,Expanded LSE + graph zero,2.254686611790845,1.3282457853964222
lumped,zero,Expanded LSE + graph control,2.297957360395167,1.3604873435649019
lumped,zero,Linear state-space estimator,6.729198836138065,4.836480744247555
lumped,zero,Neural ODE,11.103978326914682,7.367773331600982
lumped,zero,LSTM sequence model,1.457007986827536,1.62041103087144
lumped,zero,Linear residual DML,1.2890925453579285,1.8159690520701026
lumped,zero,Linear residual DML + graph zero,1.2465446839988283,1.8873253806062589
lumped,zero,Linear residual DML + graph control,1.2516035001250185,2.4467780980774596
lumped,zero,Expanded DML,2.362050906671291,2.84044279305608
lumped,zero,Expanded DML + graph zero,2.3272547958364687,2.6855755003712862
lumped,zero,Expanded DML + graph control,1.5961916707807118,1.3584751047805934
lumped,zero,RBF GP,1.4673756294445386,3.182344727332552
lumped,zero,Matern GP,1.6930630355389582,2.897202540047817
lumped,var,Average LSE,1.4653248549516624,1.2562833694142594
lumped,var,Average LSE + graph zero,1.2783043131185594,1.2625482787734648
lumped,var,Average LSE + graph control,1.3245437516956688,1.1154773146185624
lumped,var,Expanded LSE,2.6628898388834243,1.6312411467398402
lumped,var,Expanded LSE + graph zero,2.4884479485393167,1.7025076077166792
lumped,var,Expanded LSE + graph control,2.4790463045380946,1.7943495131557747
lumped,var,Linear state-space estimator,2.636758062825772,3.5074638532633866
lumped,var,Neural ODE,1.8900196718288018,7.75593226727201
lumped,var,LSTM sequence model,1.2911869212761713,2.735600810338749
lumped,var,Linear residual DML,1.7295712831648324,1.7545894418981514
lumped,var,Linear residual DML + graph zero,1.6447364444231223,1.4782726516234892
lumped,var,Linear residual DML + graph control,1.189978830875034,1.3484521000862477
lumped,var,Expanded DML,1.3219924008126986,1.3002143922391456
lumped,var,Expanded DML + graph zero,1.359160421888913,1.1585843635907513
lumped,var,Expanded DML + graph control,1.5794501036655533,1.4353760887998583
lumped,var,RBF GP,8.26341235129319,11.765442972794277
lumped,var,Matern GP,3.4236652249156387,1.7302468514837224
low_dim,zero,Average LSE,1.034740932017752,1.133515160576005
low_dim,zero,Average LSE + graph zero,1.048423904946247,1.1210055094618279
low_dim,zero,Average LSE + graph control,1.0164303753718473,1.0155749113475943
low_dim,zero,Expanded LSE,1.0594947255276068,1.2003724983126525
low_dim,zero,Expanded LSE + graph zero,1.0852780558581747,1.1643289787522766
low_dim,zero,Expanded LSE + graph control,1.0841393818434553,1.2078963993559189
low_dim,zero,Linear state-space estimator,1.0180436862113331,1.0049609842001492
low_dim,zero,Neural ODE,43.079583723481626,25.19803718270206
low_dim,zero,LSTM sequence model,1.0273166375834404,1.0348270708394682
low_dim,zero,Linear residual DML,1.0098277087763239,1.006199759469933
low_dim,zero,Linear residual DML + graph zero,1.0208596097594929,1.0226957728652877
low_dim,zero,Linear residual DML + graph control,1.0675098349000405,1.0057802980883155
low_dim,zero,Expanded DML,1.0342369328255991,2.552163370919075
low_dim,zero,Expanded DML + graph zero,1.4986051891158578,4.157443131519373
low_dim,zero,Expanded DML + graph control,1.2324116148602053,3.8675116896380963
low_dim,zero,RBF GP,1.2550581793317344,2.63525064546837
low_dim,zero,Matern GP,1.3373538568747632,1.1672665500483983
low_dim,var,Average LSE,1.042523822687783,1.0763494774064999
low_dim,var,Average LSE + graph zero,1.0591353073786385,1.1437121755788142
low_dim,var,Average LSE + graph control,1.0111077054813924,1.033243135555239
low_dim,var,Expanded LSE,1.0383392522540822,1.043374033341013
low_dim,var,Expanded LSE + graph zero,1.0451154733513395,1.0455096521297313
low_dim,var,Expanded LSE + graph control,1.044420206981602,1.049858242056134
low_dim,var,Linear state-space estimator,1.013722349213102,1.0129736655759585
low_dim,var,Neural ODE,4582.923440727156,2699.3036692886403
low_dim,var,LSTM sequence model,1.0295117345222824,1.0462914395312686
low_dim,var,Linear residual DML,1.006875068550789,1.0018769780167582
low_dim,var,Linear residual DML + graph zero,1.0100680633509505,1.0089982462954934
low_dim,var,Linear residual DML + graph control,1.017915925761131,1.0421502898006267
low_dim,var,Expanded DML,1.6481656057310254,8.618570176117665
low_dim,var,Expanded DML + graph zero,1.9936135269682516,5.7708566802823595
low_dim,var,Expanded DML + graph control,6.4075211226988245,1.6391427960667022
low_dim,var,RBF GP,3.423293236973232,1.2290135845518642
low_dim,var,Matern GP,2.7581102624981964,1.5957436082705112
two_column,var,Average LSE,1.276162133407979,12.917082571617968
