regime,method,best_noise,best_h_profile,best_mean_absolute_error,worst_noise,worst_h_profile,worst_mean_absolute_error
zero,Average LSE,N3,Hprbs,0.08666002050819462,N3,Hbrn,0.13202827782146417
zero,Average LSE + graph zero,N3,Hprbs,0.07688710801488226,N3,Hbrn,0.13202827782146417
zero,Average LSE + graph control,N3,Hdec,0.11416684383533059,N2,Hsin,0.31751373917676035
zero,Expanded LSE,N3,Hstep,0.1334890564912434,N1,Hbrn,0.3970988170775756
zero,Expanded LSE + graph zero,N3,Hstep,0.1334890564912434,N1,Hbrn,0.3872931482213073
zero,Expanded LSE + graph control,N3,Hstep,0.13348905649124346,N1,Hbrn,0.3878744642414486
zero,Linear state-space estimator,N1,Hbrn,0.3097296704999577,N3,Hdec,127.04000139327972
zero,Neural ODE,N1,Hbrn,1.6499105467184627,N3,Hbrn,450.6973208784611
zero,LSTM sequence model,N1,Hstep,0.43783145742158475,N3,Hbrn,1.1257091150824259
zero,Linear residual DML,N1,Hbrn,0.10320397940103082,N3,Hprbs,0.2704678687704284
zero,Linear residual DML + graph zero,N1,Hbrn,0.09679280827888992,N3,Hstep,0.23377674786848734
zero,Linear residual DML + graph control,N1,Hbrn,1.3378729739540773,N3,Hsin,3.9032120608091816
zero,Expanded DML,N1,Hbrn,5.678184003413683,N3,Hdec,54.1049388667891
zero,Expanded DML + graph zero,N1,Hbrn,5.511052272484469,N3,Hdec,52.78283673437992
zero,Expanded DML + graph control,N3,Hstep,1.8564410176290451,N3,Hdec,5.999897680376386
zero,RBF GP,N1,Hbrn,0.2537434765071957,N3,Hdec,1.4431008099676148
zero,Matern GP,N1,Hsin,0.16722591550631435,N3,Hprbs,0.8546481303964667
var,Average LSE,N3,Hstep,0.08438153608736525,N1,Hbrn,0.16775201398063921
var,Average LSE + graph zero,N3,Hstep,0.06817268341301669,N3,Hbrn,0.16077381118521555
var,Average LSE + graph control,N3,Hstep,0.06882524983572653,N2,Hsin,0.137255206728948
var,Expanded LSE,N3,Hdec,0.16023497243567503,N2,Hsin,0.6828282641461513
var,Expanded LSE + graph zero,N3,Hdec,0.10359209626860184,N2,Hsin,0.6828282641461513
var,Expanded LSE + graph control,N3,Hdec,0.11183300623838348,N2,Hsin,0.6828282641461527
var,Linear state-space estimator,N2,Hbrn,0.00694715978752133,N3,Hdec,0.841485755392324
var,Neural ODE,N1,Hbrn,0.0748090348234955,N3,Hstep,3.304420520414481
var,LSTM sequence model,N1,Hsin,0.14887701415024956,N3,Hbrn,0.8795995614037707
var,Linear residual DML,N2,Hsin,0.26216699230924007,N3,Hprbs,0.8904980639237646
var,Linear residual DML + graph zero,N1,Hsin,0.260262169565265,N3,Hprbs,0.7850237365660817
var,Linear residual DML + graph control,N3,Hdec,1.0678226451080806,N3,Hbrn,2.2689471352577164
var,Expanded DML,N2,Hsin,0.48934950928484716,N3,Hprbs,0.9149273077504151
var,Expanded DML + graph zero,N1,Hsin,0.46622455352797293,N3,Hprbs,0.8485427395254795
var,Expanded DML + graph control,N3,Hdec,1.0822962091757125,N2,Hsin,3.1464825110393964
var,RBF GP,N2,Hsin,0.017051444802017417,N3,Hprbs,10.043999601635827
var,Matern GP,N2,Hsin,0.010437406043579822,N2,Hstep,1.3061539941504041
