regime,method,t_outputs_mean_absolute_error,t_outputs_median_absolute_error,t_outputs_max_absolute_error,all_outputs_mean_absolute_error,t1_t2_mean_absolute_error,t3_t4_mean_absolute_error,t1_t2_over_t3_t4_ratio,worst_temperature_output,worst_temperature_output_mean_error,t1_mean_absolute_error,t2_mean_absolute_error,t3_mean_absolute_error,t4_mean_absolute_error
var,Average LSE,0.127035491699087,0.09480542072548515,0.6510049187484434,0.13222549655552043,0.16662161237366138,0.0874493710245128,1.905349465886449,T2,0.17398100915972808,0.15926221558759476,0.17398100915972808,0.08069854854993905,0.09420019349908651
var,Average LSE + graph zero,0.10939232487567438,0.07072301826049485,0.6510049187484434,0.12046338533991191,0.13914058273750057,0.07964406701384823,1.7470301047447427,T2,0.15363375503770854,0.12464741043729273,0.15363375503770854,0.07524973183779074,0.08403840218990567
var,Average LSE + graph control,0.0839631309950384,0.05082687198635085,0.4686231946296525,0.10706017751131024,0.09763077500792673,0.07029548698215013,1.3888626311489634,T2,0.10334751156894798,0.09191403844690543,0.10334751156894798,0.07384454442368361,0.06674642954061659
var,Expanded LSE,0.32946427896661223,0.2373557381784579,2.481721590969417,0.36336758637501254,0.4779373181546097,0.18099123977861495,2.6406654749656036,T1,0.48477396020186325,0.48477396020186325,0.47110067610735634,0.18378626094467357,0.1781962186125563
var,Expanded LSE + graph zero,0.2859531954840201,0.16081051039504518,2.481721590969417,0.3343601973866177,0.41123533339358626,0.16067105757445402,2.5594860680058837,T1,0.42178546787755355,0.42178546787755355,0.4006851989096188,0.17574685067617335,0.1455952644727348
var,Expanded LSE + graph control,0.28737780123412604,0.16613156301265786,2.3975459743565737,0.3352789384017619,0.4180524888578336,0.15670311361041847,2.667799504591587,T2,0.419125599969039,0.41697937774662847,0.419125599969039,0.17369913130801232,0.13970709591282454
var,Linear state-space estimator,0.399103189385814,0.0842981681900006,3.293784320056544,0.35888823243133844,0.65297315408268,0.14523322468894798,4.496031507123661,T2,0.668833697884565,0.6371126102807948,0.668833697884565,0.20049174784156612,0.08997470153632985
var,Neural ODE,0.9898328048236863,0.2775596534052207,17.265130286162,1.0452785330226884,1.5625894546058905,0.417076155041481,3.7465327032433215,T2,1.564175418993307,1.5610034902184744,1.564175418993307,0.3304407948328759,0.5037115152500864
var,LSTM sequence model,0.33991726222539687,0.14665713509079065,2.7008161563873294,0.38241482536504895,0.4355596740546494,0.24427485039614377,1.7830721146622195,T2,0.5351220420175608,0.3359973060917383,0.5351220420175608,0.3172365588421566,0.1713131419501308
var,Linear residual DML,0.3914866286566003,0.048202794048525205,3.1687367485527966,0.5573415371816429,0.6612679058833368,0.12170535142986384,5.4333511067047136,T1,0.7375388061899578,0.7375388061899578,0.5849970055767159,0.16901523907826901,0.07439546378145859
