regime,method,output,count,mean_absolute_error,median_absolute_error,max_absolute_error
var,Average LSE,C,60,0.08996165743001984,0.08293161936919513,0.29152742386631036
var,Average LSE,P,60,0.19524935510675415,0.16568695937565892,0.6593480906471232
var,Average LSE,T1,60,0.15926221558759476,0.1429949219712495,0.44848500547918846
var,Average LSE,T2,60,0.17398100915972808,0.14008732060539159,0.6510049187484434
var,Average LSE,T3,60,0.08069854854993905,0.06966564855525445,0.2234737013802217
var,Average LSE,T4,60,0.09420019349908651,0.0706713059091796,0.30264549532792806
var,Average LSE + graph control,C,60,0.06590079450398355,0.0613117894137607,0.1916449336341728
var,Average LSE + graph control,P,60,0.24060774658372422,0.2499386670172603,0.5947582406901901
var,Average LSE + graph control,T1,60,0.09191403844690543,0.03107525186203445,0.3371894117974872
var,Average LSE + graph control,T2,60,0.10334751156894798,0.07899125289372678,0.4686231946296525
var,Average LSE + graph control,T3,60,0.07384454442368361,0.041609001342618204,0.24986736975970913
var,Average LSE + graph control,T4,60,0.06674642954061659,0.028533020701907448,0.2282769875662911
var,Average LSE + graph zero,C,60,0.08996165743001984,0.08293161936919513,0.29152742386631036
var,Average LSE + graph zero,P,60,0.19524935510675415,0.16568695937565892,0.6593480906471232
var,Average LSE + graph zero,T1,60,0.12464741043729273,0.07515969011877743,0.44848500547918846
var,Average LSE + graph zero,T2,60,0.15363375503770854,0.12568483231752858,0.6510049187484434
var,Average LSE + graph zero,T3,60,0.07524973183779074,0.05350696878999628,0.2234737013802217
var,Average LSE + graph zero,T4,60,0.08403840218990567,0.0525032019014711,0.30264549532792806
var,Expanded DML,C,60,0.6074175037410264,0.5765297026642393,1.8632372636858294
var,Expanded DML,P,60,2.0863263565477292,2.049511818372748,4.330329992888403
var,Expanded DML,T1,60,0.4881371487388544,0.20804715036279864,2.8896904442935467
var,Expanded DML,T2,60,0.5253820645282746,0.308596059267981,2.6850941340795345
var,Expanded DML,T3,60,0.16634046840035493,0.06792509017273604,1.2740665188360527
var,Expanded DML,T4,60,0.11588755837049042,0.0712771524690528,0.6037462774172795
var,Expanded DML + graph control,C,60,3.2923169904766403,2.930305537567217,6.859802459866559
var,Expanded DML + graph control,P,60,4.994611371382751,4.603371765948667,12.336241065997747
