regime,method,h_sensitivity_ratio,noise_sensitivity_ratio
zero,Average LSE,1.1869343350452068,1.0285610925540458
zero,Average LSE + graph zero,1.176026382181212,1.010547091735728
zero,Average LSE + graph control,1.9423371245427334,1.2584053730562301
zero,Expanded LSE,2.24887165276092,1.2922949001100645
zero,Expanded LSE + graph zero,2.254686611790845,1.3282457853964222
zero,Expanded LSE + graph control,2.297957360395167,1.3604873435649019
zero,Linear state-space estimator,6.729198836138065,4.836480744247555
zero,Neural ODE,11.103978326914682,7.367773331600982
zero,LSTM sequence model,1.457007986827536,1.62041103087144
zero,Linear residual DML,1.2890925453579285,1.8159690520701026
zero,Linear residual DML + graph zero,1.2465446839988283,1.8873253806062589
zero,Linear residual DML + graph control,1.2516035001250185,2.4467780980774596
zero,Expanded DML,2.362050906671291,2.84044279305608
zero,Expanded DML + graph zero,2.3272547958364687,2.6855755003712862
zero,Expanded DML + graph control,1.5961916707807118,1.3584751047805934
zero,RBF GP,1.4673756294445386,3.182344727332552
zero,Matern GP,1.6930630355389582,2.897202540047817
var,Average LSE,1.4653248549516624,1.2562833694142594
var,Average LSE + graph zero,1.2783043131185594,1.2625482787734648
var,Average LSE + graph control,1.3245437516956688,1.1154773146185624
var,Expanded LSE,2.6628898388834243,1.6312411467398402
var,Expanded LSE + graph zero,2.4884479485393167,1.7025076077166792
var,Expanded LSE + graph control,2.4790463045380946,1.7943495131557747
var,Linear state-space estimator,2.636758062825772,3.5074638532633866
var,Neural ODE,1.8900196718288018,7.75593226727201
var,LSTM sequence model,1.2911869212761713,2.735600810338749
var,Linear residual DML,1.7295712831648324,1.7545894418981514
var,Linear residual DML + graph zero,1.6447364444231223,1.4782726516234892
var,Linear residual DML + graph control,1.189978830875034,1.3484521000862477
var,Expanded DML,1.3219924008126986,1.3002143922391456
var,Expanded DML + graph zero,1.359160421888913,1.1585843635907513
var,Expanded DML + graph control,1.5794501036655533,1.4353760887998583
var,RBF GP,8.26341235129319,11.765442972794277
var,Matern GP,3.4236652249156387,1.7302468514837224
