regime,method,noise,h_profile,mean_absolute_error,max_absolute_error,count
var,Average LSE,N1,Hbrn,0.16775201398063921,0.6593480906471232,24
var,Average LSE,N1,Hdec,0.12021279359087744,0.28384519501769034,24
var,Average LSE,N1,Hprbs,0.1411795758306886,0.4941984713891596,24
var,Average LSE,N1,Hsin,0.15874953250511625,0.3796388759160651,24
var,Average LSE,N1,Hstep,0.12553306745373832,0.2824908652148501,24
var,Average LSE,N2,Hbrn,0.1504292728675219,0.6262293390403357,24
var,Average LSE,N2,Hdec,0.12004980752456396,0.30264549532792806,24
var,Average LSE,N2,Hprbs,0.14955367147999574,0.5414233202615044,24
var,Average LSE,N2,Hsin,0.15546243173358162,0.356365204044797,24
var,Average LSE,N2,Hstep,0.12657328968068451,0.29656144617900715,24
var,Average LSE,N3,Hbrn,0.16077381118521555,0.6510049187484434,24
var,Average LSE,N3,Hdec,0.0865967273228087,0.2744772105962543,24
var,Average LSE,N3,Hprbs,0.12120928978155042,0.3857534768093327,24
var,Average LSE,N3,Hsin,0.11492562730845853,0.3085406848877721,24
var,Average LSE,N3,Hstep,0.08438153608736525,0.2740260607964995,24
var,Average LSE + graph control,N1,Hbrn,0.07560744817458367,0.3950719227149193,24
var,Average LSE + graph control,N1,Hdec,0.1127052255608209,0.42677575377652843,24
var,Average LSE + graph control,N1,Hprbs,0.11937179649354769,0.5372071498127298,24
var,Average LSE + graph control,N1,Hsin,0.12054507079888221,0.4228747989407174,24
var,Average LSE + graph control,N1,Hstep,0.10651759225328579,0.4173736316287595,24
var,Average LSE + graph control,N2,Hbrn,0.07360389112717426,0.38692387609164847,24
var,Average LSE + graph control,N2,Hdec,0.11395273377799153,0.440396076546568,24
var,Average LSE + graph control,N2,Hprbs,0.1288850351113295,0.5947582406901901,24
var,Average LSE + graph control,N2,Hsin,0.137255206728948,0.4686231946296525,24
var,Average LSE + graph control,N2,Hstep,0.11111641922287563,0.39664066284871957,24
var,Average LSE + graph control,N3,Hbrn,0.1326344491038425,0.3716488265451794,24
var,Average LSE + graph control,N3,Hdec,0.07459007046947266,0.24966794843320805,24
var,Average LSE + graph control,N3,Hprbs,0.11477567356462494,0.3371894117974872,24
var,Average LSE + graph control,N3,Hsin,0.11551680044654755,0.3199254260902514,24
var,Average LSE + graph control,N3,Hstep,0.06882524983572653,0.2512743621101432,24
var,Average LSE + graph zero,N1,Hbrn,0.12972780003760914,0.6593480906471232,24
var,Average LSE + graph zero,N1,Hdec,0.12021279359087744,0.28384519501769034,24
var,Average LSE + graph zero,N1,Hprbs,0.1411795758306886,0.4941984713891596,24
var,Average LSE + graph zero,N1,Hsin,0.10206705445541979,0.3137713991152624,24
var,Average LSE + graph zero,N1,Hstep,0.12553306745373832,0.2824908652148501,24
var,Average LSE + graph zero,N2,Hbrn,0.11141774842379219,0.6262293390403357,24
var,Average LSE + graph zero,N2,Hdec,0.12004980752456396,0.30264549532792806,24
var,Average LSE + graph zero,N2,Hprbs,0.14955367147999574,0.5414233202615044,24
var,Average LSE + graph zero,N2,Hsin,0.15546243173358162,0.356365204044797,24
var,Average LSE + graph zero,N2,Hstep,0.12657328968068451,0.29656144617900715,24
var,Average LSE + graph zero,N3,Hbrn,0.16077381118521555,0.6510049187484434,24
var,Average LSE + graph zero,N3,Hdec,0.07449350216881219,0.2744772105962543,24
var,Average LSE + graph zero,N3,Hprbs,0.11162083709796779,0.3857534768093327,24
var,Average LSE + graph zero,N3,Hsin,0.11011270602271546,0.3085406848877721,24
var,Average LSE + graph zero,N3,Hstep,0.06817268341301669,0.2740260607964995,24
var,Expanded DML,N1,Hbrn,0.5104239189805194,3.711685442262638,24
var,Expanded DML,N1,Hdec,0.6657026230720998,3.653948693506802,24
var,Expanded DML,N1,Hprbs,0.6660483763943971,3.7597167918014422,24
var,Expanded DML,N1,Hsin,0.49134451059797724,3.6778029472840004,24
var,Expanded DML,N1,Hstep,0.6867460834258287,3.6546271301789996,24
var,Expanded DML,N2,Hbrn,0.5125149828991232,3.720797545113464,24
var,Expanded DML,N2,Hdec,0.6676145748331178,3.64302155872448,24
var,Expanded DML,N2,Hprbs,0.668123466911457,3.7771722266485996,24
var,Expanded DML,N2,Hsin,0.48934950928484716,3.6458859472545244,24
var,Expanded DML,N2,Hstep,0.6888670167193549,3.64895885633587,24
var,Expanded DML,N3,Hbrn,0.6850865641521375,4.330329992888403,24
var,Expanded DML,N3,Hdec,0.8654451790418373,2.8896904442935467,24
var,Expanded DML,N3,Hprbs,0.9149273077504151,2.5819116650395877,24
var,Expanded DML,N3,Hsin,0.7206010478298407,2.7525843635664655,24
var,Expanded DML,N3,Hstep,0.740932588923871,2.7385290265426754,24
var,Expanded DML + graph control,N1,Hbrn,1.5382405662338634,7.128875489524197,24
var,Expanded DML + graph control,N1,Hdec,2.130608749952687,9.66325050927334,24
var,Expanded DML + graph control,N1,Hprbs,2.2544800435844543,10.339806965230323,24
var,Expanded DML + graph control,N1,Hsin,2.690998325632412,10.953377960460205,24
var,Expanded DML + graph control,N1,Hstep,2.240457539872559,12.336241065997747,24
