regime,method,noise,h_profile,t1_t2_mean_absolute_error,t3_t4_mean_absolute_error,t1_t2_over_t3_t4_ratio
var,Average LSE,N1,Hbrn,0.22632080442592303,0.0860013487438757,2.631595989266851
var,Average LSE,N1,Hdec,0.12899883065097606,0.09894827699121131,1.3036996153296725
var,Average LSE,N1,Hprbs,0.1682533426778761,0.06322069884782021,2.6613648021019514
var,Average LSE,N1,Hsin,0.23631133866268944,0.10508506568737142,2.248762344267994
var,Average LSE,N1,Hstep,0.1401757269295732,0.09782293029068861,1.432953669584727
var,Average LSE,N2,Hbrn,0.22648306480390656,0.07722294567842738,2.932846744114499
var,Average LSE,N2,Hdec,0.1382030311056452,0.10815098504685289,1.2778712190718673
var,Average LSE,N2,Hprbs,0.1780734161018686,0.06357551711703036,2.800974717579875
var,Average LSE,N2,Hsin,0.22865425766778252,0.11310289934857379,2.021648065476102
var,Average LSE,N2,Hstep,0.14498877887400238,0.10831630402715808,1.3385683732123046
var,Average LSE,N3,Hbrn,0.2445309755611299,0.06538173936307795,3.7400500192140838
var,Average LSE,N3,Hdec,0.06187377359352314,0.0797156521916571,0.7761809869504992
var,Average LSE,N3,Hprbs,0.17439698266030404,0.0802070181488891,2.1743356963672325
var,Average LSE,N3,Hsin,0.13489199457075535,0.08600810723175759,1.5683637149143994
var,Average LSE,N3,Hstep,0.0671678673189659,0.07898107665330001,0.850429877194634
var,Average LSE + graph zero,N1,Hbrn,0.13391566532931498,0.06433384601139353,2.0815740645382603
var,Average LSE + graph zero,N1,Hdec,0.12899883065097606,0.09894827699121131,1.3036996153296725
var,Average LSE + graph zero,N1,Hprbs,0.1682533426778761,0.06322069884782021,2.6613648021019514
var,Average LSE + graph zero,N1,Hsin,0.09067201109311313,0.08067695910785841,1.1238897957456746
var,Average LSE + graph zero,N1,Hstep,0.1401757269295732,0.09782293029068861,1.432953669584727
var,Average LSE + graph zero,N2,Hbrn,0.1303063676571303,0.056365069494014486,2.311828386390401
var,Average LSE + graph zero,N2,Hdec,0.1382030311056452,0.10815098504685289,1.2778712190718673
var,Average LSE + graph zero,N2,Hprbs,0.1780734161018686,0.06357551711703036,2.800974717579875
var,Average LSE + graph zero,N2,Hsin,0.22865425766778252,0.11310289934857379,2.021648065476102
var,Average LSE + graph zero,N2,Hstep,0.14498877887400238,0.10831630402715808,1.3385683732123046
