"method","variant","system","output","input","value","local_gradient_std","sample_count","allowed_by_graph","controls","runtime_seconds","basis_terms","operating_input","basis_coefficients","raw_value","source_row_index","T1","T2","T3","T4","C","P","H","u1","u2","u3","u4","kernel","ridge_alpha","epochs","hidden","layers","batch_size","learning_rate","window","fd_relative_step","depth","rollout_horizon","ridge","solve_method","ss_max_steps","ss_steps_done","ss_residual_mean","ss_residual_max","pinv_rcond"
"dml_basis","graph_control","heat","T1","u1","10.060674627551805","0.1956019084478739","713.0","True","[""T2"", ""u2""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": 2.422970327847486, ""square"": 2.6182980741696653, ""cube"": -0.3902941280547815, ""tanh"": 1.0622543160624573, ""signed_log1p"": 6.493502975961717}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T1","u2","-6.929235809830807","0.3906226158825475","713.0","True","[""T2"", ""u1""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": -5.064411436302745, ""square"": -1.585500160810736, ""cube"": 0.18595775366966943, ""tanh"": -9.284982264943865, ""signed_log1p"": 8.988831936405498}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T1","u3","0.0","0.0","713.0","False","[""T2"", ""u1"", ""u2""]","498.6290373000084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T1","u4","0.0","0.0","713.0","False","[""T2"", ""u1"", ""u2""]","498.6290373000084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T2","u1","-7.128875489524197","0.9448427818413244","713.0","True","[""T1"", ""u2""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": -1.1655074120025346, ""square"": -0.2807480915573433, ""cube"": -0.12548238186570926, ""tanh"": 1.785483784360929, ""signed_log1p"": -11.277251783703619}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T2","u2","9.89849756853192","0.2302911341068368","713.0","True","[""T1"", ""u1""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": 9.194680178056023, ""square"": 0.1830355988002325, ""cube"": 0.0004015215270256856, ""tanh"": 1.2745570234419334, ""signed_log1p"": -0.4780955425243396}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T2","u3","0.0","0.0","713.0","False","[""T1"", ""u1"", ""u2""]","498.6290373000084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T2","u4","0.0","0.0","713.0","False","[""T1"", ""u1"", ""u2""]","498.6290373000084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T3","u1","0.0302217751232177","0.1269026739328118","713.0","True","[""P"", ""u2"", ""u3"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": 0.035460911154579014, ""square"": 0.22811968648231634, ""cube"": -0.042579160253699934, ""tanh"": 0.9000329256187662, ""signed_log1p"": -1.424685895533715}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T3","u2","0.0047849733080654","0.162279819773298","713.0","True","[""P"", ""u1"", ""u3"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": 0.9443990686571336, ""square"": -0.05531655316696275, ""cube"": -0.0052182430717353625, ""tanh"": 0.3200396008368148, ""signed_log1p"": -2.0360703814628893}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T3","u3","10.01152247833085","0.0770439139411181","713.0","True","[""P"", ""u1"", ""u2"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","3.073007760299593","{""linear"": 9.71779064180481, ""square"": 0.026436956020768135, ""cube"": -0.0022209526223350203, ""tanh"": -0.90311317598146, ""signed_log1p"": 0.8222368140929842}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T3","u4","-0.0836191424712703","0.1415239533676753","713.0","True","[""P"", ""u1"", ""u2"", ""u3""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": -0.96505015309586, ""square"": 0.02030145794225304, ""cube"": 0.037920574993590445, ""tanh"": 0.35550500178709993, ""signed_log1p"": 1.2309880415198635}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T4","u1","0.0","0.0","713.0","False","[""u4""]","498.6290373000084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T4","u2","0.0","0.0","713.0","False","[""u4""]","498.6290373000084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T4","u3","0.0","0.0","713.0","False","[""u4""]","498.6290373000084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","T4","u4","9.970394555873574","0.045002054000627","713.0","True","[]","498.6290373000084","linear,square,cube,tanh,signed_log1p","1.1926289603787767","{""linear"": 10.11276885416616, ""square"": -0.164932278991141, ""cube"": 0.03704267019168178, ""tanh"": -0.2561242764316275, ""signed_log1p"": 0.3772528051334111}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","C","u1","-3.957412869729648","0.396797188290384","713.0","True","[""P"", ""T1"", ""T2"", ""T3"", ""T4"", ""u2"", ""u3"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","0.7937340560630288","{""linear"": -1.8672776396187036, ""square"": -0.9145145712766813, ""cube"": 0.32198411379788194, ""tanh"": 1.9248263852569838, ""signed_log1p"": -4.182966589902155}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dml_basis","graph_control","heat","C","u2","-3.391832163643994","0.2657219937413927","713.0","True","[""P"", ""T1"", ""T2"", ""T3"", ""T4"", ""u1"", ""u3"", ""u4""]","498.6290373000084","linear,square,cube,tanh,signed_log1p","2.134779724551564","{""linear"": -1.7469652689303192, ""square"": -0.35907433889005375, ""cube"": 0.015086550890048903, ""tanh"": -1.7653420753238784, ""signed_log1p"": -0.6958305647976506}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
