regime,method,noise,h_profile,gradient,output,input,estimate,true_value,absolute_error
var,Expanded DML + graph control,N1,Hbrn,"$\partial X_1^A/\partial X_{0,A}$",X1A,X0_A,0.21282488690757934,0.3620378515604405,0.14921296465286116
var,Expanded DML + graph control,N1,Hbrn,"$\partial X_1^B/\partial X_{0,B}$",X1B,X0_B,0.23134301831679005,0.34936432146723756,0.11802130315044751
var,Expanded DML + graph zero,N1,Hbrn,"$\partial X_1^A/\partial X_{0,A}$",X1A,X0_A,0.30610478803141955,0.3620378515604405,0.05593306352902094
var,Expanded DML + graph zero,N1,Hbrn,"$\partial X_1^B/\partial X_{0,B}$",X1B,X0_B,0.3133268586062702,0.34936432146723756,0.03603746286096737
var,Expanded DML,N1,Hbrn,"$\partial X_1^A/\partial X_{0,A}$",X1A,X0_A,0.30610478803141955,0.3620378515604405,0.05593306352902094
var,Expanded DML,N1,Hbrn,"$\partial X_1^B/\partial X_{0,B}$",X1B,X0_B,0.3133268586062702,0.34936432146723756,0.03603746286096737
var,Expanded DML + graph control,N2,Hbrn,"$\partial X_1^A/\partial X_{0,A}$",X1A,X0_A,0.21049823594991446,0.3620378515604405,0.15153961561052604
var,Expanded DML + graph control,N2,Hbrn,"$\partial X_1^B/\partial X_{0,B}$",X1B,X0_B,0.23832464546237753,0.34936432146723756,0.11103967600486003
var,Expanded DML + graph zero,N2,Hbrn,"$\partial X_1^A/\partial X_{0,A}$",X1A,X0_A,0.3059707300296437,0.3620378515604405,0.05606712153079679
var,Expanded DML + graph zero,N2,Hbrn,"$\partial X_1^B/\partial X_{0,B}$",X1B,X0_B,0.3131635086180221,0.34936432146723756,0.03620081284921545
var,Expanded DML,N2,Hbrn,"$\partial X_1^A/\partial X_{0,A}$",X1A,X0_A,0.3059707300296437,0.3620378515604405,0.05606712153079679
var,Expanded DML,N2,Hbrn,"$\partial X_1^B/\partial X_{0,B}$",X1B,X0_B,0.3131635086180221,0.34936432146723756,0.03620081284921545
