regime,method,noise,h_profile,direct_hidden_stage_mean_absolute_error,remaining_stage_mean_absolute_error,direct_over_remaining_ratio
var,Average LSE,N1,Hbrn,3.122544128548622,2.459424010433474,1.2696241539897275
var,Average LSE,N1,Hdec,3.131042003696101,2.457923110055325,1.2738567739922608
var,Average LSE,N1,Hprbs,3.819201476131831,2.575670702968417,1.4827988188592065
var,Average LSE,N1,Hsin,3.187324848809008,2.4197640203714887,1.3172048274028312
var,Average LSE,N1,Hstep,3.132896114440695,2.4559491174506816,1.2756355952898146
var,Average LSE,N2,Hbrn,3.0634771455952614,2.6583679499145654,1.1523901895122213
var,Average LSE,N2,Hdec,3.165980834892124,2.5777050254108036,1.2282168842757981
var,Average LSE,N2,Hprbs,3.859095402543121,2.6663874868945205,1.4473122985728228
var,Average LSE,N2,Hsin,3.275320576095521,2.4157024408169216,1.3558460349892683
var,Average LSE,N2,Hstep,3.1657526017871795,2.665114162062968,1.187848778431572
var,Average LSE,N3,Hbrn,0.07285534074272056,0.052968338575766126,1.3754507447596829
var,Average LSE,N3,Hdec,0.05741939298663815,0.044642059956321714,1.2862173708564955
var,Average LSE,N3,Hprbs,0.9539693055811514,0.820043061673638,1.163316111271256
var,Average LSE,N3,Hsin,0.08853153001900212,0.08524295907080857,1.0385787985780952
var,Average LSE,N3,Hstep,0.0556299665328662,0.04324117784530279,1.2865044225179258
var,Average LSE + graph zero,N1,Hbrn,3.122544128548622,2.459424010433474,1.2696241539897275
var,Average LSE + graph zero,N1,Hdec,3.131042003696101,2.457923110055325,1.2738567739922608
var,Average LSE + graph zero,N1,Hprbs,3.819201476131831,2.575670702968417,1.4827988188592065
var,Average LSE + graph zero,N1,Hsin,3.187324848809008,2.4197640203714887,1.3172048274028312
var,Average LSE + graph zero,N1,Hstep,3.132896114440695,2.4559491174506816,1.2756355952898146
var,Average LSE + graph zero,N2,Hbrn,3.0634771455952614,2.6583679499145654,1.1523901895122213
var,Average LSE + graph zero,N2,Hdec,3.165980834892124,2.5777050254108036,1.2282168842757981
var,Average LSE + graph zero,N2,Hprbs,3.859095402543121,2.6663874868945205,1.4473122985728228
var,Average LSE + graph zero,N2,Hsin,3.275320576095521,2.4157024408169216,1.3558460349892683
var,Average LSE + graph zero,N2,Hstep,3.1657526017871795,2.665114162062968,1.187848778431572
var,Average LSE + graph zero,N3,Hbrn,0.07285534074272056,0.052968338575766126,1.3754507447596829
var,Average LSE + graph zero,N3,Hdec,0.05741939298663815,0.044642059956321714,1.2862173708564955
var,Average LSE + graph zero,N3,Hprbs,0.9539693055811514,0.820043061673638,1.163316111271256
var,Average LSE + graph zero,N3,Hsin,0.08853153001900212,0.08524295907080857,1.0385787985780952
var,Average LSE + graph zero,N3,Hstep,0.0556299665328662,0.04324117784530279,1.2865044225179258
var,Average LSE + graph control,N1,Hbrn,0.014591063709812687,0.01598724030092675,0.912669318479367
var,Average LSE + graph control,N1,Hdec,0.013945883692875605,0.01600757083158766,0.871205496423996
var,Average LSE + graph control,N1,Hprbs,0.015324205529596862,0.01688448793155612,0.9075907775063061
var,Average LSE + graph control,N1,Hsin,0.014224118930316578,0.015376129585708071,0.9250779821430307
var,Average LSE + graph control,N1,Hstep,0.014509592988479182,0.01625629194325245,0.8925524368736331
var,Average LSE + graph control,N2,Hbrn,0.015173610186671828,0.016229370879881612,0.9349475280943554
var,Average LSE + graph control,N2,Hdec,0.01467298188940457,0.01619733734010656,0.9058885161990482
var,Average LSE + graph control,N2,Hprbs,0.015553605607892167,0.017366101943641157,0.8956302144470215
var,Average LSE + graph control,N2,Hsin,0.014834499729745737,0.015756134542658458,0.9415062869374802
var,Average LSE + graph control,N2,Hstep,0.014968846432048342,0.016510036532878112,0.9066513209852297
var,Average LSE + graph control,N3,Hbrn,0.010261674041569625,0.009338057774071824,1.098908819140349
var,Average LSE + graph control,N3,Hdec,0.010058769860323682,0.009115188180172474,1.1035175205931245
var,Average LSE + graph control,N3,Hprbs,0.011039668648853255,0.010163612551478745,1.0861953456939923
var,Average LSE + graph control,N3,Hsin,0.009970537146386998,0.009190077197047421,1.0849241995040393
var,Average LSE + graph control,N3,Hstep,0.009773907211478914,0.008863789759644261,1.1026781406727746
var,Expanded LSE,N1,Hbrn,3.6755722206050856,2.936646178067716,1.25162242835246
var,Expanded LSE,N1,Hdec,3.296537792013534,2.6169976650440065,1.2596640172998017
var,Expanded LSE,N1,Hprbs,3.457115513822215,2.365875825521023,1.4612413198232306
var,Expanded LSE,N1,Hsin,4.030547009227446,3.102227995588395,1.2992426781523445
var,Expanded LSE,N1,Hstep,4.451147154513246,3.546565232380467,1.2550585884826995
var,Expanded LSE,N2,Hbrn,3.1988607732554817,2.798612180257674,1.1430168123405209
var,Expanded LSE,N2,Hdec,3.493761013811985,2.884837962057074,1.2110770378661788
var,Expanded LSE,N2,Hprbs,2.5689752967058856,1.8209703070225132,1.4107727549420852
var,Expanded LSE,N2,Hsin,3.0834409902646525,2.316819334636201,1.3308940167096932
var,Expanded LSE,N2,Hstep,3.4684514908528037,2.9318920674703124,1.1830079044640427
var,Expanded LSE,N3,Hbrn,0.08595576669445507,0.06157423780951536,1.3959696417252592
var,Expanded LSE,N3,Hdec,0.05970602070054526,0.04720911094633203,1.2647139398244522
var,Expanded LSE,N3,Hprbs,1.0523085743125251,0.905808160475327,1.1617344822333255
var,Expanded LSE,N3,Hsin,0.13314522235719153,0.11759953481029543,1.1321917435470596
var,Expanded LSE,N3,Hstep,0.06284276334938774,0.04936881233075582,1.2729243500605323
var,Expanded LSE + graph zero,N1,Hbrn,3.6755722206050856,2.936646178067716,1.25162242835246
var,Expanded LSE + graph zero,N1,Hdec,3.296537792013534,2.6169976650440065,1.2596640172998017
var,Expanded LSE + graph zero,N1,Hprbs,3.457115513822215,2.365875825521023,1.4612413198232306
var,Expanded LSE + graph zero,N1,Hsin,4.030547009227446,3.102227995588395,1.2992426781523445
var,Expanded LSE + graph zero,N1,Hstep,4.451147154513246,3.546565232380467,1.2550585884826995
var,Expanded LSE + graph zero,N2,Hbrn,3.1988607732554817,2.798612180257674,1.1430168123405209
var,Expanded LSE + graph zero,N2,Hdec,3.493761013811985,2.884837962057074,1.2110770378661788
var,Expanded LSE + graph zero,N2,Hprbs,2.5689752967058856,1.8209703070225132,1.4107727549420852
var,Expanded LSE + graph zero,N2,Hsin,3.0834409902646525,2.316819334636201,1.3308940167096932
var,Expanded LSE + graph zero,N2,Hstep,3.4684514908528037,2.9318920674703124,1.1830079044640427
var,Expanded LSE + graph zero,N3,Hbrn,0.08595576669445507,0.06157423780951536,1.3959696417252592
var,Expanded LSE + graph zero,N3,Hdec,0.05970602070054526,0.04720911094633203,1.2647139398244522
var,Expanded LSE + graph zero,N3,Hprbs,1.0523085743125251,0.905808160475327,1.1617344822333255
var,Expanded LSE + graph zero,N3,Hsin,0.13314522235719153,0.11759953481029543,1.1321917435470596
var,Expanded LSE + graph zero,N3,Hstep,0.06284276334938774,0.04936881233075582,1.2729243500605323
var,Expanded LSE + graph control,N1,Hbrn,3.675572220605237,2.936646178067855,1.2516224283524524
var,Expanded LSE + graph control,N1,Hdec,3.2965377920143175,2.6169976650446514,1.2596640172997906
var,Expanded LSE + graph control,N1,Hprbs,3.457115513822515,2.365875825521094,1.4612413198233136
var,Expanded LSE + graph control,N1,Hsin,4.030547009226897,3.102227995588081,1.299242678152299
var,Expanded LSE + graph control,N1,Hstep,4.451147154513929,3.5465652323810866,1.2550585884826728
var,Expanded LSE + graph control,N2,Hbrn,3.1988607732523833,2.798612180255002,1.1430168123405051
var,Expanded LSE + graph control,N2,Hdec,3.493761013810933,2.8848379620561566,1.2110770378661992
