regime,method,N1,N2,N3
var,Average LSE,2.8314597576200438,2.911886479314483,0.22542911397908222
var,Average LSE + graph zero,2.8314597576200438,2.911886479314483,0.22542911397908222
var,Average LSE + graph control,0.015398623608210643,0.01580242403508622,0.009728263443256077
var,Expanded LSE,3.2996720720829815,2.822658167039603,0.2551918371448344
var,Expanded LSE + graph zero,3.2996720720829815,2.822658167039603,0.2551918371448344
var,Expanded LSE + graph control,3.2996720720832315,2.82265816703966,0.2551918371447544
var,Linear state-space estimator,0.0013516113252315981,0.0013790590662015284,0.03585070539397177
var,Neural ODE,0.0036072596434675182,0.0035622396268814374,0.07169762429945062
var,LSTM sequence model,0.013292660320237373,0.013355541615636683,0.00954337014839893
var,Linear residual DML,0.0037161336124059362,0.003731982578208824,0.00390991880803271
var,Linear residual DML + graph zero,0.0037161336124059362,0.003731982578208824,0.00390991880803271
var,Linear residual DML + graph control,0.058327982007503,0.056920533970007625,0.12687406581047864
var,Expanded DML,0.009161088943728395,0.009219963271984186,0.0063127079014138054
var,Expanded DML + graph zero,0.009161088943728395,0.009219963271984186,0.0063127079014138054
var,Expanded DML + graph control,0.10160793497624751,0.09912938416806638,0.1631006028709892
var,RBF GP,0.0026189848233989454,0.002870133267718462,0.6799218536318545
var,Matern GP,0.004861743116687502,0.00430100615459157,0.012151188643584903
