method,output_group,mean_absolute_error,median_absolute_error,max_absolute_error,entry_count
Average LSE,H2 direct A stages,1.2698324511581833,0.03314655698665852,32.397420308580635,480
Average LSE,H3 direct B stages,3.2836396379620614,0.012512462056457972,59.996407305087494,480
Average LSE,other stages,1.7598763749000654,0.011770454195149032,58.63142401065994,1200
Average LSE,column A,1.6417654786221523,0.013629703849446369,58.63142401065994,1200
Average LSE,column B,2.424374664907513,0.013423100319598648,59.996407305087494,960
Average LSE + graph zero,H2 direct A stages,1.2698324511581833,0.03314655698665852,32.397420308580635,480
Average LSE + graph zero,H3 direct B stages,3.2836396379620614,0.012512462056457972,59.996407305087494,480
Average LSE + graph zero,other stages,1.7598763749000654,0.011770454195149032,58.63142401065994,1200
Average LSE + graph zero,column A,1.6417654786221523,0.013629703849446369,58.63142401065994,1200
Average LSE + graph zero,column B,2.424374664907513,0.013423100319598648,59.996407305087494,960
Average LSE + graph control,H2 direct A stages,0.014659705273596566,0.00089696232776846,0.13383544482369714,480
Average LSE + graph control,H3 direct B stages,0.011860690140464222,0.0009409108982300811,0.11752022748594626,480
Average LSE + graph control,other stages,0.013949428486307439,0.0006170399538292789,0.14309585269817493,1200
Average LSE + graph control,column A,0.015135303503022479,0.0006307719259346131,0.14309585269817493,1200
Average LSE + graph control,column B,0.011777853936136614,0.0008120241631615005,0.1399517175210211,960
Expanded LSE,H2 direct A stages,1.2382268913851935,0.05320742199578804,28.80024510467888,480
Expanded LSE,H3 direct B stages,3.5775554556129996,0.025722638848641097,86.78001590486838,480
Expanded LSE,other stages,1.9002003069611704,0.030609561389546028,84.3564244889942,1200
Expanded LSE,column A,1.7283237785835885,0.031959125510189146,84.3564244889942,1200
Expanded LSE,column B,2.6227368339710737,0.03193820213878146,86.78001590486838,960
Expanded LSE + graph zero,H2 direct A stages,1.2382268913851935,0.05320742199578804,28.80024510467888,480
Expanded LSE + graph zero,H3 direct B stages,3.5775554556129996,0.025722638848641097,86.78001590486838,480
Expanded LSE + graph zero,other stages,1.9002003069611704,0.030609561389546028,84.3564244889942,1200
Expanded LSE + graph zero,column A,1.7283237785835885,0.031959125510189146,84.3564244889942,1200
Expanded LSE + graph zero,column B,2.6227368339710737,0.03193820213878146,86.78001590486838,960
Expanded LSE + graph control,H2 direct A stages,1.2382268913852115,0.05320742199572769,28.800245104680986,480
Expanded LSE + graph control,H3 direct B stages,3.577555455613155,0.02572263884845527,86.78001590488512,480
Expanded LSE + graph control,other stages,1.9002003069612385,0.03060956138955309,84.35642448900522,1200
Expanded LSE + graph control,column A,1.7283237785836332,0.0319591255101832,84.35642448900522,1200
Expanded LSE + graph control,column B,2.62273683397119,0.03193820213877852,86.78001590488512,960
Linear state-space estimator,H2 direct A stages,0.01298644139530849,0.0008777763809872721,0.2941022643196361,480
Linear state-space estimator,H3 direct B stages,0.013888266896054966,0.0010751630776356194,0.2745358036119831,480
Linear state-space estimator,other stages,0.012398942154697555,0.0007842040218276635,0.3362030335071044,1200
Linear state-space estimator,column A,0.011216503424434653,0.0007992764872733557,0.2941022643196361,1200
Linear state-space estimator,column B,0.014915402558510359,0.001032339436452355,0.3362030335071044,960
Neural ODE,H2 direct A stages,0.03136885636968174,0.0020083710462850536,1.2896351109721025,480
Neural ODE,H3 direct B stages,0.02488641171246548,0.001972034969875536,0.6521475917706266,480
Neural ODE,other stages,0.02481816690902082,0.0018393973694928204,1.430673568072562,1200
Neural ODE,column A,0.02723905092390608,0.001845546211190019,1.430673568072562,1200
Neural ODE,column B,0.025101529022467022,0.002017094550058487,0.830342580507975,960
LSTM sequence model,H2 direct A stages,0.014435768516101143,0.00096944267902125,0.1436094830453692,480
LSTM sequence model,H3 direct B stages,0.01033238275264158,0.0007194576939500546,0.09490512435895904,480
LSTM sequence model,other stages,0.011807682743066695,0.0007129176134887372,0.1523058623185375,1200
LSTM sequence model,column A,0.013081609725802447,0.0007178774654135499,0.1523058623185375,1200
LSTM sequence model,column B,0.010791666905951687,0.00082193264337175,0.12014584879150192,960
Linear residual DML,H2 direct A stages,0.0027237076277202626,0.0004930026957857362,0.02540306758187422,480
Linear residual DML,H3 direct B stages,0.004295981587434484,0.0004373387977109539,0.04757287787199327,480
Linear residual DML,other stages,0.004006945313126589,0.0004447908180053357,0.08329228905786923,1200
Linear residual DML,column A,0.0027443451033265626,0.00044094395804797327,0.02540306758187422,1200
Linear residual DML,column B,0.005088094869827408,0.0005318651475376011,0.08329228905786923,960
Linear residual DML + graph zero,H2 direct A stages,0.0027237076277202626,0.0004930026957857362,0.02540306758187422,480
Linear residual DML + graph zero,H3 direct B stages,0.004295981587434484,0.0004373387977109539,0.04757287787199327,480
Linear residual DML + graph zero,other stages,0.004006945313126589,0.0004447908180053357,0.08329228905786923,1200
Linear residual DML + graph zero,column A,0.0027443451033265626,0.00044094395804797327,0.02540306758187422,1200
Linear residual DML + graph zero,column B,0.005088094869827408,0.0005318651475376011,0.08329228905786923,960
Linear residual DML + graph control,H2 direct A stages,0.11527325733520573,0.008585811055384838,1.4164634543906374,480
Linear residual DML + graph control,H3 direct B stages,0.052641892351418994,0.004670585117716198,0.7661427143381118,480
Linear residual DML + graph control,other stages,0.07810748919814384,0.004984701195597378,1.9354816895398796,1200
Linear residual DML + graph control,column A,0.08879679817317739,0.005814016792936248,1.4164634543906374,1200
Linear residual DML + graph control,column B,0.07059593862452024,0.005458460104543783,1.9354816895398796,960
Expanded DML,H2 direct A stages,0.010703669695996556,0.0014630622963584285,0.07804866452656067,480
Expanded DML,H3 direct B stages,0.0057726633188916205,0.0010676959703292245,0.041390015948324366,480
Expanded DML,other stages,0.008225722864320554,0.0010024161174381524,0.10953901378673092,1200
Expanded DML,column A,0.0087760978945585,0.0010472888591738817,0.07804866452656067,1200
Expanded DML,column B,0.007550197719646666,0.0011378203104452922,0.10953901378673092,960
