regime,method,h_sensitivity_ratio,noise_sensitivity_ratio
var,Average LSE,1.276162133407979,12.917082571617968
var,Average LSE + graph zero,1.276162133407979,12.917082571617968
var,Average LSE + graph control,1.089488583247094,1.624382823024898
var,Expanded LSE,1.2006815828273343,12.930163084371108
var,Expanded LSE + graph zero,1.2006815828273343,12.930163084371108
var,Expanded LSE + graph control,1.2006815828279092,12.930163084376142
var,Linear state-space estimator,1.4161037320385073,26.524419205964232
var,Neural ODE,4.077392690396432,20.127119960825965
var,LSTM sequence model,1.0945624596226253,1.399457571901611
var,Linear residual DML,1.2072186715939361,1.052146993579521
var,Linear residual DML + graph zero,1.2072186715939361,1.052146993579521
var,Linear residual DML + graph control,1.1462562528559164,2.228968299512627
var,Expanded DML,1.0170567805578299,1.4605401383959595
var,Expanded DML + graph zero,1.0170567805578299,1.4605401383959595
var,Expanded DML + graph control,1.0983797061167155,1.6453305368513584
var,RBF GP,1.840990704838866,259.6127505425728
var,Matern GP,1.4486040053065483,2.825196757882528
