regime,method,noise,h_profile,mean_absolute_error,max_absolute_error,count
var,Average LSE,N1,Hbrn,2.7541440629290963,58.43653357963903,144
var,Average LSE,N1,Hdec,2.757087062784561,58.40130246247917,144
var,Average LSE,N1,Hprbs,3.1283510465966002,59.996407305087494,144
var,Average LSE,N1,Hsin,2.7609021663437194,58.47878083652372,144
var,Average LSE,N1,Hstep,2.7568144494462423,58.40561996018495,144
var,Average LSE,N2,Hbrn,2.838416481328207,58.63142401065994,144
var,Average LSE,N2,Hdec,2.8391609407358356,58.56043113139713,144
var,Average LSE,N2,Hprbs,3.1964798938494554,58.56476578306437,144
var,Average LSE,N2,Hsin,2.7977549453851878,58.27547792334574,144
var,Average LSE,N2,Hstep,2.8876201352737296,58.62774995156745,144
var,Average LSE,N3,Hbrn,0.06180700620552363,0.8727014454145625,144
var,Average LSE,N3,Hdec,0.05032087463646238,0.9079325625744387,144
var,Average LSE,N3,Hprbs,0.8795658367436441,27.625696351122095,144
var,Average LSE,N3,Hsin,0.08670454615889461,1.7644595669420429,144
var,Average LSE,N3,Hstep,0.04874730615088652,0.9036150648683008,144
var,Average LSE + graph control,N1,Hbrn,0.015366717371542722,0.13318808792885306,144
var,Average LSE + graph control,N1,Hdec,0.015091265436604526,0.13542253350763667,144
var,Average LSE + graph control,N1,Hprbs,0.016191029086240896,0.1392136928775909,144
var,Average LSE + graph control,N1,Hsin,0.014864124849978518,0.1308970031131892,144
var,Average LSE + graph control,N1,Hstep,0.015479981296686547,0.13331400936124016,144
var,Average LSE + graph control,N2,Hbrn,0.0157601439051217,0.13519863374408048,144
var,Average LSE + graph control,N2,Hdec,0.015519846028683445,0.1336128979452912,144
var,Average LSE + graph control,N2,Hprbs,0.01656054801664161,0.1399517175210211,144
var,Average LSE + graph control,N2,Hsin,0.015346519070252806,0.13321687137342864,144
var,Average LSE + graph control,N2,Hstep,0.01582506315473154,0.13383544482369714,144
var,Average LSE + graph control,N3,Hbrn,0.00974855389295973,0.14309585269817493,144
var,Average LSE + graph control,N3,Hdec,0.009534557815795233,0.14182742736529463,144
var,Average LSE + graph control,N3,Hprbs,0.010552970816978523,0.13105260537899432,144
var,Average LSE + graph control,N3,Hsin,0.009536948285642789,0.13273543945461652,144
var,Average LSE + graph control,N3,Hstep,0.00926828640490411,0.13520039937061012,144
var,Average LSE + graph zero,N1,Hbrn,2.7541440629290963,58.43653357963903,144
var,Average LSE + graph zero,N1,Hdec,2.757087062784561,58.40130246247917,144
var,Average LSE + graph zero,N1,Hprbs,3.1283510465966002,59.996407305087494,144
var,Average LSE + graph zero,N1,Hsin,2.7609021663437194,58.47878083652372,144
var,Average LSE + graph zero,N1,Hstep,2.7568144494462423,58.40561996018495,144
var,Average LSE + graph zero,N2,Hbrn,2.838416481328207,58.63142401065994,144
var,Average LSE + graph zero,N2,Hdec,2.8391609407358356,58.56043113139713,144
var,Average LSE + graph zero,N2,Hprbs,3.1964798938494554,58.56476578306437,144
var,Average LSE + graph zero,N2,Hsin,2.7977549453851878,58.27547792334574,144
var,Average LSE + graph zero,N2,Hstep,2.8876201352737296,58.62774995156745,144
var,Average LSE + graph zero,N3,Hbrn,0.06180700620552363,0.8727014454145625,144
var,Average LSE + graph zero,N3,Hdec,0.05032087463646238,0.9079325625744387,144
var,Average LSE + graph zero,N3,Hprbs,0.8795658367436441,27.625696351122095,144
var,Average LSE + graph zero,N3,Hsin,0.08670454615889461,1.7644595669420429,144
var,Average LSE + graph zero,N3,Hstep,0.04874730615088652,0.9036150648683008,144
var,Expanded DML,N1,Hbrn,0.009141420433472214,0.09446826187912682,144
var,Expanded DML,N1,Hdec,0.009210299420177552,0.10128737370643037,144
var,Expanded DML,N1,Hprbs,0.009057441288395375,0.08502901437256072,144
var,Expanded DML,N1,Hsin,0.00915538943324261,0.07730350108085049,144
var,Expanded DML,N1,Hstep,0.009240894143354234,0.09458835762195639,144
var,Expanded DML,N2,Hbrn,0.009227267213558286,0.09084177340593813,144
var,Expanded DML,N2,Hdec,0.009268149842593935,0.10133145775734964,144
var,Expanded DML,N2,Hprbs,0.009123089427626057,0.08599014225624413,144
var,Expanded DML,N2,Hsin,0.009251435497072488,0.0768840713713379,144
var,Expanded DML,N2,Hstep,0.009229874379070165,0.09231469449739227,144
var,Expanded DML,N3,Hbrn,0.006195623101552794,0.10125864558072895,144
var,Expanded DML,N3,Hdec,0.006181743447989712,0.10953901378673092,144
var,Expanded DML,N3,Hprbs,0.0063454358034922605,0.09082474806251728,144
var,Expanded DML,N3,Hsin,0.006367205128052935,0.08407557760738471,144
var,Expanded DML,N3,Hstep,0.0064735320259813245,0.10376704079524601,144
var,Expanded DML + graph control,N1,Hbrn,0.09936796218234001,1.0592578692075518,144
var,Expanded DML + graph control,N1,Hdec,0.10095385037730731,1.0819350738612907,144
var,Expanded DML + graph control,N1,Hprbs,0.10414232586728496,1.1997043481682552,144
var,Expanded DML + graph control,N1,Hsin,0.10338249639984196,1.1182131138015605,144
var,Expanded DML + graph control,N1,Hstep,0.10019304005446338,1.0771890252247736,144
var,Expanded DML + graph control,N2,Hbrn,0.09769691950613053,1.0436466096975858,144
var,Expanded DML + graph control,N2,Hdec,0.09858215021532796,1.0360061337033346,144
var,Expanded DML + graph control,N2,Hprbs,0.0998579697933082,1.1361180371739557,144
var,Expanded DML + graph control,N2,Hsin,0.1021231930475068,1.204688275826097,144
var,Expanded DML + graph control,N2,Hstep,0.09738668827805838,1.050763698174291,144
var,Expanded DML + graph control,N3,Hbrn,0.16287392885718166,2.420725380411288,144
var,Expanded DML + graph control,N3,Hdec,0.15744370270131752,1.95293068634216,144
var,Expanded DML + graph control,N3,Hprbs,0.1657165254813146,2.895122795924052,144
var,Expanded DML + graph control,N3,Hsin,0.1779438583384695,2.946983765150287,144
var,Expanded DML + graph control,N3,Hstep,0.15152499897666283,2.6117889307437565,144
var,Expanded DML + graph zero,N1,Hbrn,0.009141420433472214,0.09446826187912682,144
var,Expanded DML + graph zero,N1,Hdec,0.009210299420177552,0.10128737370643037,144
