source_row_index,time,X1A,Y1A,X2A,Y2A,X3A,Y3A,X4A,Y4A,X5A,Y5A,X1B,Y1B,X2B,Y2B,X3B,Y3B,X4B,Y4B,s1,c1,s2,c2,s3,c3,L_A,G_A,X0_A,Y6_A,L_B,G_B,X0_B,Y5_B,H1,H2,H3,time_hours
4,2.2222222222222223,0.2676079425002602,0.152830509980754,0.1379603706798064,0.0922016045118989,0.0875935801915944,0.0679745918624572,0.0663170094525537,0.0573236076393564,0.0564201226648345,0.0518506027107596,0.2531255526829721,0.13991962415648,0.1228773003956059,0.082066035042823,0.0764738356229593,0.0611556099878849,0.0591691169638371,0.0529396791217689,0.9968,0.0,0.9968,0.0,0.9968,0.0,8.0,50.0,0.6,0.05,7.5,50.0,0.6,0.05,0.29904,0.19936,0.179424,2.2222222222222223
14,7.777777777777778,0.2636827327312832,0.1454610720467014,0.1303104270289967,0.0846773719013007,0.079692624198233,0.0629966543484115,0.0611424517064741,0.0541375191481212,0.0537438415051834,0.0506680603452138,0.2479653300554773,0.1354560512828491,0.1170461238663019,0.0787043541068615,0.0722592980068057,0.0584812291148428,0.0568238895220189,0.0523071214291403,0.9888,0.0,0.9888,0.0,0.9888,0.0,8.400305493134933,50.0,0.6,0.05,7.5,50.0,0.6,0.05,0.29664,0.19776,0.177984,7.777777777777778
24,13.333333333333332,0.2536372716442678,0.1324750066629188,0.1233078733156917,0.0782608984435471,0.0761440206784534,0.0602553495389107,0.0590179460237871,0.0529842910701515,0.0529941543292025,0.0505251207635147,0.2478514993335941,0.1353329228479703,0.1167287804378284,0.0787479934849124,0.0723119435643413,0.0585034694417956,0.0569082768223111,0.0522111003817334,0.9808,0.0,0.9808,0.0,0.9808,0.0,8.400305493134933,57.94427601939151,0.6,0.05,7.5,50.0,0.6,0.05,0.29424,0.19616,0.176544,13.333333333333332
34,18.88888888888889,0.2731222858028611,0.1404991452699152,0.1302664831524362,0.0812184840528085,0.0786475843550981,0.0615146977255451,0.059984156560466,0.0531564991504621,0.05307392234358,0.0505943400349979,0.2477021053094924,0.1354744059350292,0.1169043057808233,0.0787030544868116,0.0720493393660458,0.0587555248860827,0.0568515543409533,0.0519450495535636,0.9728,0.0,0.9728,0.0,0.9728,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.05,7.5,50.0,0.6,0.05,0.29184,0.19456,0.1751039999999999,18.88888888888889
44,24.444444444444443,0.2624271929657523,0.1265252008169178,0.1157156485767957,0.0658780521843777,0.0632436541713887,0.0458164656672532,0.0440944483182666,0.0369114774855878,0.0370805919797522,0.0343937769487276,0.2481976663985261,0.1352279552912986,0.116997345615086,0.0791092760360857,0.0721893003873803,0.0587343774051974,0.0565965458285074,0.0523288553211045,0.9648,0.0,0.9648,0.0,0.9648,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,7.5,50.0,0.6,0.05,0.28944,0.19296,0.1736639999999999,24.444444444444443
54,30.0,0.2621357515093357,0.1263211967159382,0.1156995706607931,0.0659308100497361,0.062824371304349,0.0455059577990634,0.0438888847848475,0.0368107300607131,0.0368227256433164,0.03461329144682,0.2358535883790107,0.1289053117192214,0.1090085539789829,0.0750456199256158,0.0683060587240229,0.0574688078831378,0.0550819216282307,0.0521316131016951,0.9568,0.0,0.9568,0.0,0.9568,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,50.0,0.6,0.05,0.2870399999999999,0.19136,0.172224,30.0
64,35.55555555555556,0.2620825597089482,0.1263298271400723,0.1155960938545615,0.065666713546424,0.0629744152113785,0.0455529707178575,0.0439912882917053,0.0363877528586286,0.0374502927052671,0.0345653163899425,0.2275414535217799,0.1186863139931574,0.1034807501774422,0.0709488882818127,0.0660206019828922,0.0562665302533988,0.054406777436945,0.0515366191695778,0.9488,0.0,0.9488,0.0,0.9488,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.6,0.05,0.28464,0.18976,0.170784,35.55555555555556
74,41.11111111111111,0.2618863109070446,0.1264810549362546,0.1155661463708594,0.0656567894799284,0.0629613443792616,0.0452926313459526,0.0442627297025702,0.0363259460692874,0.0375729439798714,0.0344019407369858,0.1966607558314967,0.1067309118807642,0.0945233394613191,0.0676210381128623,0.0635074193691865,0.055303380721364,0.0534593771386834,0.0511678776143215,0.9408,0.0,0.9408,0.0,0.9408,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.05,0.28224,0.18816,0.169344,41.11111111111111
84,46.66666666666666,0.2618781965883763,0.1266922210705355,0.1153406430444631,0.0658159197526332,0.0628149561280198,0.0454164586021748,0.0443048463758677,0.0362855232905878,0.037547346696261,0.0345151167378865,0.2470346027511458,0.171040374974229,0.1607326182561692,0.1383212817092042,0.1346649283590511,0.127797412379946,0.1261414879122228,0.1242933364640429,0.9328,0.0,0.9328,0.0,0.9328,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.27984,0.18656,0.167904,46.66666666666666
94,52.22222222222222,0.2729186094579771,0.1326105003350848,0.1234007300499185,0.0689010400471937,0.0668834944946479,0.0470489975564806,0.0463358362778592,0.0369102805969139,0.03850699113541,0.0347971106721346,0.247010012878704,0.1711224897525939,0.1605200167614223,0.1381059679973921,0.1344633986949777,0.1280688773677802,0.1261008365027145,0.1242156106281166,0.9248,0.0,0.9248,0.0,0.9248,0.0,8.950622172006547,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.2774399999999999,0.18496,0.1664639999999999,52.22222222222222
104,57.77777777777777,0.2856784041908279,0.149986739987902,0.1328686220437915,0.0772790624291066,0.0723676916481646,0.0511252197007239,0.048698529261711,0.0384734149950531,0.0392362746766251,0.0354841701329715,0.2467274407990602,0.1709002486795194,0.1603596963068217,0.1378877654838288,0.1341056723703455,0.1281458760512831,0.1257795446458866,0.1236099627711979,0.9168,0.0,0.9168,0.0,0.9168,0.0,8.950622172006547,49.358699056874414,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.27504,0.18336,0.165024,57.77777777777777
114,63.33333333333333,0.2481838143036101,0.1332993885393014,0.1182022290630017,0.070495496088874,0.0665733074629855,0.0485579927735252,0.0466772606886878,0.0376297970040419,0.0387142151499618,0.0351423900640643,0.2464483845227877,0.1710877491112314,0.1601356457868691,0.1377004104468244,0.1340045085595636,0.1281116034828118,0.1257540109962669,0.123567256796338,0.9088,0.0,0.9088,0.0,0.9088,0.0,8.950622172006547,49.358699056874414,0.5606064853638627,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.27264,0.18176,0.163584,63.33333333333333
124,68.88888888888889,0.2531144154023777,0.1398251936108213,0.1243399480844203,0.0776311760333135,0.0741196653351124,0.0563057062523266,0.0543779535492601,0.0453999590504238,0.0468330497309266,0.0429937074056501,0.2461330715208953,0.1709905451640359,0.1596050285301323,0.137759950877121,0.1338663149936863,0.1281252528316286,0.1259266796984637,0.1237997568505412,0.9008,0.0,0.9008,0.0,0.9008,0.0,8.950622172006547,49.358699056874414,0.5606064853638627,0.041763841815116,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.27024,0.18016,0.162144,68.88888888888889
134,74.44444444444444,0.2533492241014628,0.140107617478526,0.1246260701018993,0.0775693046086079,0.0742954199248423,0.0566377018297519,0.0544796298686531,0.0455298892682897,0.0471837251531457,0.042968023725258,0.2441473742608934,0.1701203837260953,0.1587499266051206,0.1370496327945392,0.1334858294319014,0.1274659976301546,0.1257304197378081,0.1239037997592564,0.8928,0.0,0.8928,0.0,0.8928,0.0,8.950622172006547,49.358699056874414,0.5606064853638627,0.041763841815116,6.764608762962374,57.47106890792524,0.501053060913115,0.1231842627574149,0.26784,0.17856,0.160704,74.44444444444444
144,80.0,0.2531235542784105,0.1401153158090201,0.1247469375586445,0.0781528221972271,0.0745457101728762,0.0563313204021597,0.0545228918791748,0.0454318733071165,0.0473605295884869,0.0427978463910561,0.2503753085857717,0.1782952533718736,0.1627689708547776,0.1403577449005886,0.1354123048071989,0.1286211409864588,0.1263759801020329,0.124053176931282,0.8848,0.0,0.8848,0.0,0.8848,0.0,8.950622172006547,49.358699056874414,0.5606064853638627,0.041763841815116,6.764608762962374,48.901526117652935,0.501053060913115,0.1231842627574149,0.26544,0.17696,0.159264,80.0
