source_row_index,time,X1A,Y1A,X2A,Y2A,X3A,Y3A,X4A,Y4A,X5A,Y5A,X1B,Y1B,X2B,Y2B,X3B,Y3B,X4B,Y4B,s1,c1,s2,c2,s3,c3,L_A,G_A,X0_A,Y6_A,L_B,G_B,X0_B,Y5_B,H1,H2,H3,time_hours
4,2.2222222222222223,0.2610516577935665,0.1490760214720503,0.1356344637600894,0.0912134400022739,0.0867938887551637,0.0676483850076289,0.0662080922779689,0.0572285736088885,0.0564015170296276,0.0518461896000129,0.2449354528033194,0.1364319004464043,0.1206899902577008,0.080919675974776,0.0759531954020057,0.0608830250440331,0.0590257246191661,0.0528938027219749,0.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,0.6,0.05,7.5,50.0,0.6,0.05,0.0,0.0,0.0,2.2222222222222223
14,7.777777777777778,0.2568356171340035,0.141486334990437,0.1277371020886751,0.0835408082132142,0.0787323392968757,0.0625786249017932,0.0608842139203308,0.0539906706083462,0.0536572840745309,0.0506392061354965,0.2397694043535383,0.1319230901263053,0.1147577126898417,0.0775033875402018,0.0716345639948966,0.058166891294451,0.0566299449787985,0.0522424673219091,0.0,0.0,0.0,0.0,0.0,0.0,8.400305493134933,50.0,0.6,0.05,7.5,50.0,0.6,0.05,0.0,0.0,0.0,7.777777777777778
24,13.333333333333332,0.2473044682866416,0.1290701847202686,0.1210341583643602,0.0773517582904685,0.0753322626156257,0.0599350708377985,0.0588152543171518,0.0528761027017682,0.0529283037048265,0.0505052710214326,0.2397218448876104,0.131828518258199,0.1144587361320077,0.0775567280467847,0.0716921798628653,0.0581916512022372,0.0567158723756035,0.0521469593807093,0.0,0.0,0.0,0.0,0.0,0.0,8.400305493134933,57.94427601939151,0.6,0.05,7.5,50.0,0.6,0.05,0.0,0.0,0.0,13.333333333333332
34,18.88888888888889,0.2670440250283328,0.1371213550957644,0.1280838038695845,0.0803454150148491,0.0778679750574023,0.0612067713315171,0.059799579374548,0.0530521202986942,0.0530139554077087,0.0505762637215118,0.239638733909041,0.1319985693034524,0.1146526451705988,0.0775214994625046,0.0714345589767863,0.0584462321904482,0.0566606964260157,0.0518814240618321,0.0,0.0,0.0,0.0,0.0,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.05,7.5,50.0,0.6,0.05,0.0,0.0,0.0,18.88888888888889
44,24.444444444444443,0.2564578943434434,0.1231750154375025,0.1135720280599027,0.0650205287551085,0.0624779191431414,0.0455139329394072,0.0439162458631552,0.0368088284110547,0.0370227079016306,0.0343763296025089,0.2402005780076929,0.1317806865708977,0.1147640705480382,0.0779374313728704,0.0715795043405357,0.0584276104829669,0.0564072347652366,0.0522657454453172,0.0,0.0,0.0,0.0,0.0,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,7.5,50.0,0.6,0.05,0.0,0.0,0.0,24.444444444444443
54,30.0,0.2562155258108913,0.1229987407538743,0.1135735359660925,0.0650803045670135,0.0620648943891287,0.0452058876448418,0.0437120775214609,0.0367089091304759,0.0367652854643045,0.0345959770241749,0.2284148933571098,0.1257539318995504,0.1070719957057239,0.0740383733483219,0.0678125324666051,0.0572213540315901,0.0549373653578388,0.052083422849345,0.0,0.0,0.0,0.0,0.0,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,50.0,0.6,0.05,0.0,0.0,0.0,30.0
64,35.55555555555556,0.256211448978044,0.1230351373542768,0.1134876900406026,0.064823259986536,0.0622212345094956,0.0452553882196929,0.0438159316847295,0.0362867763913175,0.0373933236548827,0.0345481439683186,0.2204811450654663,0.1159646681570049,0.1017469974046795,0.0701149265369247,0.0656038915927157,0.0560724606424856,0.0542885115048459,0.051500765188431,0.0,0.0,0.0,0.0,0.0,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.6,0.05,0.0,0.0,0.0,35.55555555555556
74,41.11111111111111,0.2560643211699593,0.1232141313142428,0.1134753755983619,0.064820388702262,0.0622144606581123,0.0449975368009952,0.0440888241587618,0.0362258141586186,0.0375164461912957,0.0343849103566271,0.1896610557253861,0.1040336014787526,0.0927288637716275,0.0667956305649741,0.0630529765832826,0.055103302078803,0.0533304050523478,0.0511287781556257,0.0,0.0,0.0,0.0,0.0,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.05,0.0,0.0,0.0,41.11111111111111
84,46.66666666666666,0.2561053338674864,0.1234530635933613,0.1132675074673963,0.0649865726113586,0.0620743701489198,0.045123852303803,0.0441323922961233,0.0361862360280504,0.037491320299692,0.0344982284380354,0.2400950468875763,0.1683668655455374,0.1588978846661999,0.1375038867831704,0.1341838972116322,0.1275933483620134,0.126004935652417,0.1242519358689812,0.0,0.0,0.0,0.0,0.0,0.0,8.400305493134933,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.0,0.0,0.0,46.66666666666666
94,52.22222222222222,0.2668574981528624,0.129191172009962,0.1211205303863263,0.0679751987892481,0.0660307785241024,0.0467076143313278,0.0461248200082421,0.0367895556176496,0.0384354686383427,0.0347755513846127,0.2401300830472251,0.1684720217408495,0.1587010822264783,0.1372956809831627,0.1339865854354306,0.1278666135828425,0.1259655116777797,0.1241745849079321,0.0,0.0,0.0,0.0,0.0,0.0,8.950622172006547,57.94427601939151,0.6551371380490387,0.0337810784985887,6.9004988547336765,57.47106890792524,0.501053060913115,0.1231842627574149,0.0,0.0,0.0,52.22222222222222
