source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string,selection_note,original_connection_type,source_all_links_csv
X1A,Y1A,0,1.8082342401624243e-15,0.11233605024883132,0.11233605024883132,-->,"(0,0) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,Y1A,1,5.565089924919425e-05,0.05704810680888259,0.05704810680888259,-->,"(0,-1) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,X2A,0,2.486152546918667e-07,0.0729788448776142,0.0729788448776142,-->,"(0,0) --> (2,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,X2A,1,0.030179886809796705,0.030675081831083487,0.030675081831083487,-->,"(0,-1) --> (2,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,Y2A,0,0.0005906066789159036,0.04865704221350135,0.04865704221350135,<--,"(0,0) <-- (3,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,X3A,0,2.9831615272084266e-08,0.07842188404534003,0.07842188404534003,x-x,"(0,0) x-x (4,0)",selected_alpha005_preserved_original_connection_type,x-x,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,Y3A,0,7.009358804198831e-05,0.056288326313096264,0.056288326313096264,<--,"(0,0) <-- (5,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,Y4A,0,0.014804097885809308,0.03455464138460315,0.03455464138460315,-->,"(0,0) --> (7,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,Y1B,0,0.04605237760955841,-0.028281732364548236,0.028281732364548236,-->,"(0,0) --> (11,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,X2B,0,0.01615939515140993,-0.03410002679041363,0.03410002679041363,-->,"(0,0) --> (12,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
X1A,Y3B,0,0.035085375067107155,-0.029875358955158155,0.029875358955158155,-->,"(0,0) --> (15,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
Y1A,X1A,0,1.8082342401624243e-15,0.11233605024883132,0.11233605024883132,<--,"(1,0) <-- (0,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
Y1A,X1A,1,3.483089008817589e-09,0.0835133861768339,0.0835133861768339,-->,"(1,-1) --> (0,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
Y1A,X2A,0,4.136584415109732e-13,0.10245436245344315,0.10245436245344315,-->,"(1,0) --> (2,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hbrn_N2_parcorr_linear_assumed_all_links.csv
