source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string,selection_note,original_connection_type,source_all_links_csv
X1A,Y1A,0,3.746108521109975e-46,0.19991339051012652,0.19991339051012652,-->,"(0,0) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
X1A,Y1A,1,5.427728537992177e-16,0.11430572968463537,0.11430572968463537,-->,"(0,-1) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
X1A,X2A,0,9.310019734109664e-15,0.10935329353794028,0.10935329353794028,-->,"(0,0) --> (2,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
X1A,X2A,1,0.04849059455331369,0.027915763863753752,0.027915763863753752,-->,"(0,-1) --> (2,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
X1A,Y2A,0,5.9812564344838645e-05,0.056819512565150124,0.056819512565150124,-->,"(0,0) --> (3,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
X1A,Y2A,1,0.02680439646670449,0.03135664325145294,0.03135664325145294,-->,"(0,-1) --> (3,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
X1A,X3A,0,5.2673160361885163e-05,0.05724195218297826,0.05724195218297826,-->,"(0,0) --> (4,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
X1A,Y3A,0,0.016269879104218843,0.03402372829670161,0.03402372829670161,-->,"(0,0) --> (5,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
X1A,X1B,1,0.03581607415169513,0.02970913427560031,0.02970913427560031,-->,"(0,-1) --> (10,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
X1A,X2B,0,0.047319934265095606,-0.028104820760477916,0.028104820760477916,-->,"(0,0) --> (12,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
Y1A,X1A,0,3.746108521109975e-46,0.19991339051012652,0.19991339051012652,<--,"(1,0) <-- (0,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
Y1A,X1A,1,2.263353838223568e-27,0.15255603727451075,0.15255603727451075,-->,"(1,-1) --> (0,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hdec_N1_parcorr_linear_assumed_all_links.csv
