source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string,selection_note,original_connection_type,source_all_links_csv
X1A,Y1A,0,1.2984712962788586e-46,0.20094560366923478,0.20094560366923478,-->,"(0,0) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
X1A,Y1A,1,5.6600705837016426e-14,0.10608903582503076,0.10608903582503076,-->,"(0,-1) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
X1A,X2A,0,6.807168465248213e-14,0.10573913184679913,0.10573913184679913,<--,"(0,0) <-- (2,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
X1A,X3A,0,0.0013912995136779274,0.04524713376636026,0.04524713376636026,-->,"(0,0) --> (4,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
X1A,Y3A,0,0.024730084599705812,0.03180834635477305,0.03180834635477305,-->,"(0,0) --> (5,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
X1A,Y4A,0,0.020196490976964167,0.03291946786857695,0.03291946786857695,-->,"(0,0) --> (7,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
X1A,Y1B,1,0.04730595907723936,0.028086863631996074,0.028086863631996074,-->,"(0,-1) --> (11,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
X1A,Y5_B,0,0.0284391237616999,-0.031037903413496607,0.031037903413496607,-->,"(0,0) --> (25,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
Y1A,X1A,0,1.2984712962788586e-46,0.20094560366923478,0.20094560366923478,<--,"(1,0) <-- (0,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
Y1A,X1A,1,1.0377416635968718e-19,0.1280852338917707,0.1280852338917707,-->,"(1,-1) --> (0,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hprbs_N1_parcorr_linear_assumed_all_links.csv
