source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string,selection_note,original_connection_type,source_all_links_csv
X1A,Y1A,0,0.0,0.7081739161282687,0.7081739161282687,-->,"(0,0) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
X1A,Y1A,1,0.0,-0.6226166319102036,0.6226166319102036,-->,"(0,-1) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
X1A,X2A,0,4.512978053869692e-115,0.3147706356591783,0.3147706356591783,<--,"(0,0) <-- (2,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
X1A,X2A,1,0.0019029811922171719,0.043931466970927625,0.043931466970927625,-->,"(0,-1) --> (2,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
X1A,Y2A,0,1.5075781046929512e-10,0.09051113289101038,0.09051113289101038,<--,"(0,0) <-- (3,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
X1A,Y2A,1,5.916243003345801e-08,0.07663670486201625,0.07663670486201625,-->,"(0,-1) --> (3,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
X1A,Y3A,0,0.004106723024326099,-0.04061980218352391,0.04061980218352391,-->,"(0,0) --> (5,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
X1A,Y3B,1,0.01175184869247224,0.03565380348339103,0.03565380348339103,-->,"(0,-1) --> (15,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,X1A,0,0.0,0.7081739161282687,0.7081739161282687,<--,"(1,0) <-- (0,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,X2A,1,0.012536722042475985,-0.03533781411612503,0.03533781411612503,-->,"(1,-1) --> (2,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,Y2A,1,1.305880110778242e-24,0.14423040824984146,0.14423040824984146,-->,"(1,-1) --> (3,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,X3A,1,0.0015529804776354844,-0.044810162539771416,0.044810162539771416,<->,"(1,-1) <-> (4,0)",selected_alpha005_preserved_original_connection_type,<->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,Y3A,0,0.024406031449214168,-0.031883514799368406,0.031883514799368406,-->,"(1,0) --> (5,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,X4A,0,3.8190385387240555e-07,-0.07177882012305078,0.07177882012305078,<->,"(1,0) <-> (6,0)",selected_alpha005_preserved_original_connection_type,<->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,X4A,1,5.637488423386913e-08,-0.0767735386410006,0.0767735386410006,-->,"(1,-1) --> (6,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,X5A,0,3.8388028917493945e-34,0.17128182884844673,0.17128182884844673,<--,"(1,0) <-- (8,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,Y5A,0,0.03879220883382618,0.02925928728962966,0.02925928728962966,-->,"(1,0) --> (9,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,X1B,1,0.012679255812017882,-0.03528459909472034,0.03528459909472034,-->,"(1,-1) --> (10,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,Y2B,0,0.02561918602058682,0.03161499536693485,0.03161499536693485,-->,"(1,0) --> (13,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,X4B,0,0.016541708616385483,0.03394809872207902,0.03394809872207902,-->,"(1,0) --> (16,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
Y1A,Y4B,1,2.02948613352784e-06,-0.06723694109882436,0.06723694109882436,<->,"(1,-1) <-> (17,0)",selected_alpha005_preserved_original_connection_type,<->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
X2A,X1A,0,4.512978053869692e-115,0.3147706356591783,0.3147706356591783,-->,"(2,0) --> (0,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hsin_N3_parcorr_linear_assumed_all_links.csv
