source,target,lag,p_value,effect_size,abs_effect_size,connection_type,connection_string,selection_note,original_connection_type,source_all_links_csv
X1A,Y1A,0,3.5682034624779233e-38,0.18141372980924225,0.18141372980924225,-->,"(0,0) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
X1A,Y1A,1,1.1617399423521515e-15,0.1130009150372682,0.1130009150372682,-->,"(0,-1) --> (1,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
X1A,X2A,0,7.041177046350914e-08,0.07620459699703656,0.07620459699703656,x-x,"(0,0) x-x (2,0)",selected_alpha005_preserved_original_connection_type,x-x,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
X1A,Y2A,0,0.002005570155897167,0.04375089611620531,0.04375089611620531,-->,"(0,0) --> (3,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
X1A,X3A,0,5.504293758995684e-07,0.07084251953670047,0.07084251953670047,-->,"(0,0) --> (4,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
X1A,Y4A,0,0.022442091984652975,0.032325388494237835,0.032325388494237835,-->,"(0,0) --> (7,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
X1A,X2B,1,0.03647889025071092,0.02961545381085443,0.02961545381085443,-->,"(0,-1) --> (12,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
X1A,Y2B,0,0.027431623780011967,-0.03125385385202157,0.03125385385202157,-->,"(0,0) --> (13,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
X1A,X4B,1,0.020200793673904243,0.032882025677816694,0.032882025677816694,-->,"(0,-1) --> (16,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
X1A,Y4B,1,0.02412934754028668,0.03192001597482782,0.03192001597482782,-->,"(0,-1) --> (17,0)",selected_alpha005_inferred_source_to_target_from_all_links_row,,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
Y1A,X1A,0,3.5682034624779233e-38,0.18141372980924225,0.18141372980924225,<--,"(1,0) <-- (0,0)",selected_alpha005_preserved_original_connection_type,<--,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
Y1A,X1A,1,4.95189687930874e-26,0.1485753992335775,0.1485753992335775,<->,"(1,-1) <-> (0,0)",selected_alpha005_preserved_original_connection_type,<->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
Y1A,X2A,0,8.4703387636324e-20,0.12841925579757146,0.12841925579757146,-->,"(1,0) --> (2,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
Y1A,X2A,1,4.668183567269231e-06,0.06474638731904322,0.06474638731904322,-->,"(1,-1) --> (2,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
Y1A,Y2A,0,0.0006131126883483413,0.048503810621458386,0.048503810621458386,-->,"(1,0) --> (3,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
Y1A,Y2A,1,0.008083077705982456,0.03751285395623685,0.03751285395623685,-->,"(1,-1) --> (3,0)",selected_alpha005_preserved_original_connection_type,-->,non_overlapping_pulse_var_baseline_varbase_p1e4_rand_dt2000_ib1e4_fb1e4_tot1e7_seed7_ns0_Hstep_N2_parcorr_linear_assumed_all_links.csv
